TEAMID,CBBdata,API
166,Merrimack,Merrimack Warriors
167,Miami (OH),Miami (OH) RedHawks
168,Miami,Miami Hurricanes
169,Michigan State,Michigan St Spartans
170,Michigan,Michigan Wolverines
171,Middle Tennessee,Middle Tennessee Blue Raiders
172,Milwaukee,Milwaukee Panthers
173,Minnesota,Minnesota Golden Gophers
175,Mississippi Valley State,Miss Valley St Delta Devils
174,Mississippi State,Mississippi St Bulldogs
176,Missouri State,Missouri St Bears
177,Missouri,Missouri Tigers
178,Monmouth,Monmouth Hawks
179,Montana,Montana Grizzlies
180,Montana State,Montana St Bobcats
181,Morehead State,Morehead St Eagles
182,Morgan State,Morgan St Bears
183,Mount St. Mary's,Mt. St. Mary's Mountaineers
184,Murray State,Murray St Racers
207,Northern Colorado,N Colorado Bears
187,Navy,Navy Midshipmen
185,NC State,NC State Wolfpack
188,Nebraska,Nebraska Cornhuskers
189,Nevada,Nevada Wolf Pack
190,New Hampshire,New Hampshire Wildcats
1507,New Haven,New Haven Chargers
191,New Mexico,New Mexico Lobos
192,New Mexico State,New Mexico St Aggies
193,New Orleans,New Orleans Privateers
194,Niagara,Niagara Purple Eagles
195,Nicholls,Nicholls St Colonels
186,NJIT,NJIT Highlanders
196,Norfolk State,Norfolk St Spartans
197,North Alabama,North Alabama Lions
198,North Carolina A&T,North Carolina A&T Aggies
199,North Carolina Central,North Carolina Central Eagles
200,North Carolina,North Carolina Tar Heels
201,North Dakota,North Dakota Fighting Hawks
202,North Dakota State,North Dakota St Bison
203,North Florida,North Florida Ospreys
204,North Texas,North Texas Mean Green
205,Northeastern,Northeastern Huskies
206,Northern Arizona,Northern Arizona Lumberjacks
208,Northern Illinois,Northern Illinois Huskies
209,Northern Iowa,Northern Iowa Panthers
210,Northern Kentucky,Northern Kentucky Norse
211,Northwestern State,Northwestern St Demons
212,Northwestern,Northwestern Wildcats
213,Notre Dame,Notre Dame Fighting Irish
214,Oakland,Oakland Golden Grizzlies
215,Ohio,Ohio Bobcats
216,Ohio State,Ohio State Buckeyes
217,Oklahoma,Oklahoma Sooners
218,Oklahoma State,Oklahoma St Cowboys
219,Old Dominion,Old Dominion Monarchs
220,Ole Miss,Ole Miss Rebels
221,Omaha,Omaha Mavericks
222,Oral Roberts,Oral Roberts Golden Eagles
223,Oregon,Oregon Ducks
224,Oregon State,Oregon St Beavers
225,Pacific,Pacific Tigers
226,Penn State,Penn State Nittany Lions
227,Pennsylvania,Pennsylvania Quakers
228,Pepperdine,Pepperdine Waves
229,Pittsburgh,Pittsburgh Panthers
230,Portland,Portland Pilots
231,Portland State,Portland St Vikings
232,Prairie View A&M,Prairie View Panthers
233,Presbyterian,Presbyterian Blue Hose
234,Princeton,Princeton Tigers
235,Providence,Providence Friars
236,Purdue,Purdue Boilermakers
362,Queens University,Queens University Royals
238,Quinnipiac,Quinnipiac Bobcats
239,Radford,Radford Highlanders
240,Rhode Island,Rhode Island Rams
241,Rice,Rice Owls
242,Richmond,Richmond Spiders
243,Rider,Rider Broncs
244,Robert Morris,Robert Morris Colonials
245,Rutgers,Rutgers Scarlet Knights
249,Sacramento State,Sacramento St Hornets
250,Sacred Heart,Sacred Heart Pioneers
251,Saint Joseph's,Saint Joseph's Hawks
252,Saint Louis,Saint Louis Billikens
253,Saint Mary's,Saint Mary's Gaels
254,Saint Peter's,Saint Peter's Peacocks
255,Sam Houston,Sam Houston St Bearkats
256,Samford,Samford Bulldogs
257,San Diego State,San Diego St Aztecs
258,San Diego,San Diego Toreros
259,San Francisco,San Francisco Dons
260,San José State,San José St Spartans
261,Santa Clara,Santa Clara Broncos
246,SE Louisiana,SE Louisiana Lions
272,Southeast Missouri State,SE Missouri St Redhawks
262,Seattle U,Seattle Redhawks
263,Seton Hall,Seton Hall Pirates
264,Siena,Siena Saints
247,SIU Edwardsville,SIU-Edwardsville Cougars
248,SMU,SMU Mustangs
265,South Alabama,South Alabama Jaguars
266,South Carolina,South Carolina Gamecocks
267,South Carolina State,South Carolina St Bulldogs
268,South Carolina Upstate,South Carolina Upstate Spartans
269,South Dakota,South Dakota Coyotes
270,South Dakota State,South Dakota St Jackrabbits
271,South Florida,South Florida Bulls
273,Southern Illinois,Southern Illinois Salukis
,,Southern Indiana Screaming Eagles
274,Southern,Southern Jaguars
275,Southern Miss,Southern Miss Golden Eagles
276,Southern Utah,Southern Utah Thunderbirds
277,St. Bonaventure,St. Bonaventure Bonnies
278,St. Francis (PA),St. Francis (PA) Red Flash
279,St. John's,St. John's Red Storm
280,St. Thomas-Minnesota,St. Thomas (MN) Tommies
281,Stanford,Stanford Cardinal
282,Stephen F. Austin,Stephen F. Austin Lumberjacks
283,Stetson,Stetson Hatters
284,Stonehill,Stonehill Skyhawks
285,Stony Brook,Stony Brook Seawolves
286,Syracuse,Syracuse Orange
288,Tarleton State,Tarleton State Texans
