Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Western Carolina Catamounts vs. Wofford Terriers,Dec 31 01:00PM ET,2025-12-30 19:49:10 UTC,Wofford Terriers,3,-0.5,0.8,0.0,0.4839657729027816,-1.5,-0.0398437509067422,-0.0558520870206213,1.6,,1.0,0.8,-1.8,0.4980482459826334,-112,-115,0.5108342361863488,-0.036835474947599,0.0,0.021,,0.5,0.470524511557836,1,153.5,155.0,154.0,154.0,153.5,3.8,,155.0,155.256701835409,148.63,0.5085510713084638,0.4914489286915363,-0.01525845250106,-0.0323605951179875,-0.0409097023356001,-0.0238075597186725,0,0,0,0
Northern Illinois Huskies vs. Buffalo Bulls,Dec 31 01:00PM ET,2025-12-30 20:04:48 UTC,Buffalo Bulls,3,-6.0,-6.15,-6.0,0.5,-6.5,-0.0133819951338199,-0.0238095238095238,1.6,-3.3,-6.0,-6.9,-6.3,0.6876966292134832,-280,-250,0.6853932584269664,-0.0265890850722312,-0.0383008823998087,0.061,0.62,0.69,0.741446122153826,2,152.5,153.330047286206,153.0,153.25,152.5,2.0,153.0,154.0,153.660094572412,149.63,0.50777918595249,0.49222081404751,-0.0160303378570337,-0.0315887097620138,-0.0293102864309588,-0.0315887097620138,0,0,0,0
La Salle Explorers vs. George Mason Patriots,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,George Mason Patriots,1,-9.5,-7.65,-9.0,0.4826321819260377,-7.5,-0.0456697048664151,-0.0192307692307692,1.9,-6.3,-9.0,-5.2,-9.0,0.7741596638655461,-350,-500,0.7983193277310924,-0.0591736694677871,0.0,0.038,0.75,0.77,0.695640974204363,2,137.0,135.62,136.5,138.0,137.0,3.2,132.0,137.0,139.407513017244,134.24,0.4844431069004852,0.5000014788054651,-0.0393664169090386,-0.0238080450040587,-0.0370879935779836,-0.0215296216730037,1,1,0,0
UNC Asheville Bulldogs vs. High Point Panthers,Dec 31 02:00PM ET,2025-12-30 20:50:52 UTC,UNC Asheville Bulldogs,3,10.5,7.25,9.0,0.547999242711806,10.0,0.0241897189022821,0.0198474412598779,2.0,6.5,8.0,3.9,8.3,0.2355882352941176,400,400,0.1911764705882352,0.0355882352941176,0.0,0.062,0.28,0.23,0.353676134190188,3,154.5,155.515,155.0,157.0,154.5,2.3,154.0,158.0,153.386070067951,157.03,0.5075229437220032,0.4924770562779967,-0.011707825508766,-0.0358248305144561,-0.0370879935779836,-0.0215296216730037,1,1,0,0
UNC Asheville Bulldogs vs. High Point Panthers,Dec 31 02:00PM ET,2025-12-30 20:50:52 UTC,High Point Panthers,3,-10.5,-7.25,-9.0,0.452000757288194,-10.0,-0.0718087665213298,-0.0581089139219979,2.0,-6.5,-8.0,-3.9,-8.3,0.7644117647058823,-550,-550,0.8088235294117646,-0.0817420814479638,0.0,0.062,0.72,0.77,0.646323865809812,3,154.5,155.515,155.0,157.0,154.5,2.3,154.0,158.0,153.386070067951,157.03,0.5075229437220032,0.4924770562779967,-0.011707825508766,-0.0358248305144561,-0.0370879935779836,-0.0215296216730037,1,1,0,0
Elon Phoenix vs. Charleston Cougars,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Elon Phoenix,3,-3.5,-6.7,-5.0,0.547999242711806,-2.5,0.0241897189022821,0.0287684734810367,3.4,-10.4,-5.0,-2.7,-8.4,0.6295461422087745,-142,-165,0.599092284417549,0.0069046327748123,0.0,0.108,0.81,0.66,0.601312450952187,2,156.5,159.43,157.5,156.0,156.5,1.0,160.0,159.0,157.73282048053,159.86,0.5155554142940497,0.4844445857059503,-0.0082541095154741,-0.0393649381035735,-0.0129761036946738,-0.047172532565124,0,1,1,0
Elon Phoenix vs. Charleston Cougars,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Charleston Cougars,3,3.5,6.7,5.0,0.452000757288194,2.5,-0.0718087665213298,-0.0672300119425752,3.4,10.4,5.0,2.7,8.4,0.3704538577912254,120,140,0.4009077155824509,-0.0462128088754412,0.0,0.108,0.1899999999999999,0.34,0.398687549047813,2,156.5,159.43,157.5,156.0,156.5,1.0,160.0,159.0,157.73282048053,159.86,0.5155554142940497,0.4844445857059503,-0.0082541095154741,-0.0393649381035735,-0.0129761036946738,-0.047172532565124,0,1,1,0
Troy Trojans vs. Texas State Bobcats,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Troy Trojans,2,-8.5,-9.45,-9.0,0.5168516246190507,-9.0,-0.0092147260918498,-0.0192307692307692,1.9,-9.9,-9.0,-9.0,-13.1,0.796304347826087,-425,-450,0.7826086956521738,-0.0218774703557311,0.0,0.008,0.82,0.81,0.804597795875465,2,144.5,140.5,143.0,143.0,144.5,1.5,140.0,141.0,142.595305221578,139.2,0.4766742692132684,0.5233257307867316,-0.0355208527379511,-0.007190701138151,-0.033132608279798,-0.0249281384969028,1,1,0,1
Troy Trojans vs. Texas State Bobcats,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Texas State Bobcats,2,8.5,9.45,9.0,0.4831483753809493,9.0,-0.0360823938498199,-0.0192307692307692,1.9,9.9,9.0,9.0,13.1,0.203695652173913,330,340,0.217391304347826,-0.0235770750988142,0.0,0.008,0.18,0.19,0.195402204124535,2,144.5,140.5,143.0,143.0,144.5,1.5,140.0,141.0,142.595305221578,139.2,0.4766742692132684,0.5233257307867316,-0.0355208527379511,-0.007190701138151,-0.033132608279798,-0.0249281384969028,1,1,0,1
William & Mary Tribe vs. Stony Brook Seawolves,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,William & Mary Tribe,3,-10.5,-13.35,-11.5,0.5320425632110974,-10.0,0.0082330394015736,0.0174828107869233,1.6,-14.7,-12.0,-11.8,-14.8,0.8428543512270035,-735,-600,0.823943661971831,-0.0142885059158536,0.0,0.011,0.88,0.86,0.861765040482176,3,157.5,154.6438758934425,156.5,156.0,157.5,2.6,155.0,156.0,154.287751786885,150.07999999999998,0.4849567874384211,0.5150432125615789,-0.0388527363711027,-0.0087663112479449,-0.0482671734733465,-0.0098024427631623,1,1,0,1
