Market Line,True Line,Over_Probability,Under_Probability,Push_Probability
110.0,100,0.3717056889,0.6222371087999999,0.02429012301
110.0,101,0.3854978481,0.6083817813,0.024536184090000003
110.0,102,0.3994569164,0.5943668785,0.02475271597
110.0,103,0.4135660256,0.5802095220000001,0.02493873057
110.0,104,0.4278076686,0.5659274443000001,0.0250933513
110.0,105,0.44216376539999996,0.5515389218,0.02521581962
110.0,106,0.456615732,0.5370627043999999,0.02530550067
110.0,107,0.4711445529,0.5225179410999999,0.025361888200000002
110.0,108,0.4857308568,0.507924104,0.025384608649999998
110.0,109,0.5003549947,0.4933009089,0.02537342427
110.0,110,0.5149971197,0.4786682351,0.02532823541
110.0,111,0.5296372685,0.4640460435,0.02524908176
110.0,112,0.5442554433,0.44945429420000005,0.02513614276
110.0,113,0.5588316944999999,0.4349128645,0.02498973692
110.0,114,0.5733462027,0.4204414669,0.024810320230000002
110.0,115,0.58777936,0.40605956839999996,0.02459848369
110.0,116,0.6021118496,0.39178631189999996,0.02435494979
110.0,117,0.6163247238999999,0.3776404386,0.024080568169999997
110.0,118,0.6303994802999999,0.36364021459999996,0.02377631044
110.0,119,0.6443181329,0.349803359,0.02344326419
110.0,120,0.6580632826999999,0.33614697720000003,0.02308262617
110.0,121,0.671618182,0.32268749669999996,0.022695694899999997
110.0,122,0.6849667961,0.3094406084,0.02228386256
110.0,123,0.6980938600000001,0.296421212,0.0218486064
110.0,124,0.7109849296,0.28364336609999996,0.0213914796
110.0,125,0.7236264289000001,0.27112024479999997,0.0209141018
110.0,126,0.7360056908,0.258864098,0.0204181493
110.0,127,0.7481109933000001,0.2468862187,0.019905344970000002
110.0,128,0.7599315892,0.2351969152,0.01937744809
110.0,129,0.7714577307,0.2238054895,0.01883624412
110.0,130,0.7826806877,0.2127202213,0.01828353439
110.0,131,0.7935927606,0.2019483577,0.01772112604
110.0,132,0.8041872877999999,0.1914961086,0.01715082201
110.0,133,0.814458646,0.18136864819999998,0.01657441135
110.0,134,0.8244022473,0.1715701212,0.01599365987
110.0,135,0.8340145285,0.16210365459999998,0.01541030107
110.0,136,0.8432929374,0.1529713748,0.0148260277
110.0,137,0.8522359124000001,0.1441744288,0.014242483660000001
110.0,138,0.8608428588,0.1357130108,0.01366125653
110.0,139,0.8691141201000001,0.1275863925,0.013083870749999999
110.0,140,0.8770509448999999,0.11979295690000001,0.012511781310000001
110.0,141,0.8846554513,0.11233023680000001,0.01194636824
110.0,142,0.8919305865,0.1051949551,0.01138893168
110.0,143,0.8988800845999999,0.09838306893,0.010840687739999999
110.0,144,0.9055084211000001,0.09188981565000001,0.01030276502
110.0,145,0.9118207654,0.08570976126,0.00977620188
110.0,146,0.9178229316,0.07983685017,0.00926194437
110.0,147,0.9235213276,0.07426445633,0.00876084494
110.0,148,0.9289229031,0.06898543533,0.008273661770000001
110.0,149,0.9340350976,0.06399217693999999,0.00780105882
110.0,150,0.9388657868,0.0592766578,0.00734360644
110.0,151,0.9434232306,0.054830493999999994,0.00690178268
110.0,152,0.9477160199,0.050644993060000004,0.006475975080000001
110.0,153,0.9517530252,0.046711205160000005,0.006066483070000001
110.0,154,0.9555433461,0.043019973169999996,0.005673520800000001
110.0,155,0.9590962613,0.03956198131,0.00529722045
110.0,156,0.9624211809000001,0.03632780225,0.00493763591
110.0,157,0.9655276002,0.03330794219,0.0045947468000000005
110.0,158,0.9684250559,0.030492884010000002,0.00426846285
110.0,159,0.9711230834,0.027873128079999997,0.00395862845
110.0,160,0.9736311778,0.02543923077,0.00366502742
110.0,161,0.9759587563,0.02318184031,0.00338738798
110.0,162,0.9781151239,0.021091730210000003,0.00312538773
110.0,163,0.9801094414000001,0.01915982979,0.00287865878
110.0,164,0.9819506962,0.01737725215,0.0026467927899999997
110.0,165,0.9836476759,0.01573531922,0.00242934607
110.0,166,0.9852089448,0.01422558419,0.00222584452
110.0,167,0.9866428229,0.01283985103,0.00203578856
110.0,168,0.9879573680999999,0.011570191430000001,0.00185865779
110.0,169,0.9891603606,0.010408959,0.00169391559
110.0,170,0.9902592899,0.00934880094,0.00154101342
110.0,171,0.9912613454,0.00838266715,0.001399395
110.0,172,0.9921734078,0.00750381708,0.0012685001400000002
110.0,173,0.9930020441,0.006705824139999999,0.00114776838
110.0,174,0.9937535043,0.00598257814,0.0010366422899999999
110.0,175,0.9944337203000001,0.00532828562,0.0009345705699999999
110.0,176,0.9950483067,0.00473746836,0.0008410107799999999
110.0,177,0.9956025632,0.00420496018,0.00075543182
110.0,178,0.9961014788999999,0.00372590219,0.0006773161199999999
110.0,179,0.9965497381999999,0.00329573665,0.00060616153
110.0,180,0.9969517272,0.00291019959,0.00054148291
110.0,181,0.9973115425,0.0025653122900000003,0.00048281348
110.0,182,0.9976329997000001,0.00225737196,0.00042970592
110.0,183,0.9979196438,0.00198294147,0.00038173316
110.0,184,0.9981747597,0.00173883863,0.00033848900000000003
110.0,185,0.9984013833000001,0.0015221247600000001,0.00029958849
110.0,186,0.9986023133999999,0.0013300931099999999,0.00026466809
110.0,187,0.9987801235,0.00116025684,0.00023338565
110.0,188,0.9989371736,0.00101033703,0.00020542027
110.0,189,0.9990756231,0.00087825053,0.00018047196
110.0,190,0.9991974419999999,0.0007620979899999999,0.00015826117
110.0,191,0.9993044236999999,0.00066015196,0.00013852825
110.0,192,0.9993981963,0.0005708453,0.00012103279999999999
110.0,193,0.9994802344,0.0004927598100000001,0.00010555289
110.0,194,0.9995518701,0.00042461528,9.188429e-05
110.0,195,0.9996143037,0.00036525889999999996,7.983963e-05
