Game Time,Team,market_total,model_total,Over Total Edge,Under Total Edge
Nov 11 07:00PM ET,Pennsylvania Quakers,173.5,163.92069120138848,-0.0837691007298096,0.0361500531107619
Nov 11 07:00PM ET,Providence Friars,173.5,163.92069120138848,-0.0837691007298096,0.0361500531107619
Nov 11 07:00PM ET,Florida Gators,180.25,167.407946090007,-0.1059902260430259,0.0435904388870667
Nov 11 07:00PM ET,Florida St Seminoles,180.25,167.407946090007,-0.1059902260430259,0.0435904388870667
Nov 11 08:00PM ET,Louisville Cardinals,173.5,164.03600816744648,-0.0857954199913341,0.0381763723722864
Nov 11 08:00PM ET,Kentucky Wildcats,173.5,164.03600816744648,-0.0857954199913341,0.0381763723722864
Nov 11 10:00PM ET,UC Santa Barbara Gauchos,160.5,148.438073759212,-0.1011160379673318,0.0534969903482841
Nov 11 10:00PM ET,Sacramento St Hornets,160.5,148.438073759212,-0.1011160379673318,0.0534969903482841
