spread,result,cover_prob,push_prob,not_cover_prob
-60,57,-2.42E-43,2.42E-43,1
-60,58,-4.92E-44,4.92E-44,1
-60,59,-9.96E-45,9.96E-45,1
-60,60,-2.01E-45,2.01E-45,1
-59.5,-60,0.043562807,0,0.956437193
-59.5,-59,0.040906597,0,0.959093403
-59.5,-58,0.038297339,0,0.961702661
-59.5,-57,0.035737549,0,0.964262451
-59.5,-56,0.033230169,0,0.966769831
-59.5,-55,0.030778608,0,0.969221392
-59.5,-54,0.028386783,0,0.971613217
-59.5,-53,0.026059146,0,0.973940854
-59.5,-52,0.023800702,0,0.976199298
-59.5,-51,0.021617005,0,0.978382995
-59.5,-50,0.019514126,0,0.980485874
-59.5,-49,0.017498577,0,0.982501423
-59.5,-48,0.015577202,0,0.984422798
-59.5,-47,0.013756998,0,0.986243002
-59.5,-46,0.012044886,0,0.987955114
-59.5,-45,0.010447418,0,0.989552582
-59.5,-44,0.008970434,0,0.991029566
-59.5,-43,0.00761868,0,0.99238132
-59.5,-42,0.00639542,0,0.99360458
-59.5,-41,0.00530208,0,0.99469792
-59.5,-40,0.004337961,0,0.995662039
-59.5,-39,0.003500073,0,0.996499927
-59.5,-38,0.002783118,0,0.997216882
-59.5,-37,0.002179646,0,0.997820354
-59.5,-36,0.001680371,0,0.998319629
-59.5,-35,0.001274633,0,0.998725367
-59.5,-34,0.000950938,0,0.999049062
-59.5,-33,0.000697529,0,0.999302471
-59.5,-32,0.000502918,0,0.999497082
-59.5,-31,0.00035634,0,0.99964366
-59.5,-30,0.00024808,0,0.99975192
-59.5,-29,0.00016968,0,0.99983032
-59.5,-28,0.00011401,0,0.99988599
-59.5,-27,7.53E-05,0,0.999924748
-59.5,-26,4.88E-05,0,0.999951207
-59.5,-25,3.11E-05,0,0.99996892
-59.5,-24,1.95E-05,0,0.999980549
-59.5,-23,1.20E-05,0,0.999988039
-59.5,-22,7.23E-06,0,0.999992771
-59.5,-21,4.30E-06,0,0.999995704
-59.5,-20,2.51E-06,0,0.99999749
-59.5,-19,1.44E-06,0,0.999998558
-59.5,-18,8.16E-07,0,0.999999184
-59.5,-17,4.54E-07,0,0.999999546
-59.5,-16,2.49E-07,0,0.999999751
-59.5,-15,1.34E-07,0,0.999999866
-59.5,-14,7.15E-08,0,0.999999929
-59.5,-13,3.75E-08,0,0.999999963
-59.5,-12,1.94E-08,0,0.999999981
-59.5,-11,9.87E-09,0,0.99999999
-59.5,-10,4.96E-09,0,0.999999995
-59.5,-9,2.46E-09,0,0.999999998
-59.5,-8,1.20E-09,0,0.999999999
-59.5,-7,5.81E-10,0,0.999999999
-59.5,-6,2.76E-10,0,1
-59.5,-5,1.30E-10,0,1
-59.5,-4,6.01E-11,0,1
-59.5,-3,2.74E-11,0,1
-59.5,-2,1.24E-11,0,1
-59.5,-1,5.50E-12,0,1
-59.5,1,1.04E-12,0,1
-59.5,2,4.44E-13,0,1
-59.5,3,1.87E-13,0,1
-59.5,4,7.76E-14,0,1
-59.5,5,3.17E-14,0,1
-59.5,6,1.28E-14,0,1
-59.5,7,5.11E-15,0,1
-59.5,8,2.01E-15,0,1
-59.5,9,7.77E-16,0,1
-59.5,10,2.97E-16,0,1
-59.5,11,1.12E-16,0,1
-59.5,12,4.17E-17,0,1
-59.5,13,1.53E-17,0,1
-59.5,14,5.53E-18,0,1
-59.5,15,1.97E-18,0,1
-59.5,16,6.91E-19,0,1
-59.5,17,2.39E-19,0,1
-59.5,18,8.14E-20,0,1
-59.5,19,2.73E-20,0,1
-59.5,20,9.00E-21,0,1
-59.5,21,2.92E-21,0,1
-59.5,22,9.32E-22,0,1
-59.5,23,2.92E-22,0,1
-59.5,24,9.01E-23,0,1
-59.5,25,2.73E-23,0,1
-59.5,26,8.12E-24,0,1
-59.5,27,2.37E-24,0,1
-59.5,28,6.82E-25,0,1
-59.5,29,1.92E-25,0,1
-59.5,30,5.33E-26,0,1
-59.5,31,1.45E-26,0,1
-59.5,32,3.88E-27,0,1
-59.5,33,1.02E-27,0,1
-59.5,34,2.64E-28,0,1
-59.5,35,6.70E-29,0,1
-59.5,36,1.67E-29,0,1
-59.5,37,4.12E-30,0,1
-59.5,38,9.97E-31,0,1
-59.5,39,2.38E-31,0,1
-59.5,40,5.58E-32,0,1
-59.5,41,1.29E-32,0,1
-59.5,42,2.96E-33,0,1
-59.5,43,6.68E-34,0,1
-59.5,44,1.49E-34,0,1
-59.5,45,3.29E-35,0,1
-59.5,46,7.19E-36,0,1
-59.5,47,1.56E-36,0,1
-59.5,48,3.34E-37,0,1
-59.5,49,7.11E-38,0,1
-59.5,50,1.50E-38,0,1
-59.5,51,3.16E-39,0,1
-59.5,52,6.59E-40,0,1
-59.5,53,1.37E-40,0,1
-59.5,54,2.82E-41,0,1
-59.5,55,5.81E-42,0,1
-59.5,56,1.19E-42,0,1
-59.5,57,2.42E-43,0,1
-59.5,58,4.92E-44,0,1
-59.5,59,9.96E-45,0,1
-59.5,60,2.01E-45,0,1
-59,-60,-0.083982321,0.127545128,0.828892065
-59,-59,-0.080532972,0.121439569,0.837653833
-59,-58,-0.076982752,0.115280091,0.84642257
-59,-57,-0.073338482,0.109076031,0.85518642
-59,-56,-0.069608386,0.102838555,0.863931276
-59,-55,-0.065802291,0.0965809,0.872640492
-59,-54,-0.061931838,0.090318621,0.881294596
-59,-53,-0.05801068,0.084069825,0.889871029
-59,-52,-0.05405467,0.077855372,0.898343926
-59,-51,-0.050082011,0.071699017,0.906683978
-59,-50,-0.046113338,0.065627464,0.914858411
-59,-49,-0.042171708,0.059670285,0.922831138
-59,-48,-0.038282467,0.053859669,0.930563129
-59,-47,-0.034472945,0.048229943,0.938013059
-59,-46,-0.030771954,0.04281684,0.945138274
-59,-45,-0.027209064,0.037656482,0.9518961
