"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"Penn","Penn","Pennsylvania","https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/300px-UPenn_shield_with_banner.svg.png","Ivy","Ivy","https://sportslogohistory.com/wp-content/uploads/2019/05/ivy_league_2000-pres.png","#990000","#011F5B",NA,NA,"#01563f","#01563f"
"Penn State","Penn St.","Penn State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/penn-st.svg","Big Ten","Big 10","https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png","#093162","#ffffff",NA,NA,"#0088ce","#000000"
"Pepperdine Waves","Pepperdine","Pepperdine","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/pepperdine.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#00205C","#EE7624",NA,NA,"#10225e","#862B30"
"Pittsburgh Panthers","Pittsburgh","Pittsburgh","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/pittsburgh.svg","ACC","ACC","https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png","#1C2957","#CDB87D",NA,NA,"#204c88","#A8A9AB"
"Portland Pilots","Portland","Portland","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/portland.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#1E1656","#5E6A71",NA,NA,"#10225e","#862B30"
"Portland State Vikings","Portland St.","Portland State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/portland-st.svg","Big Sky","Big Sky","https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png","#154734","#ffffff","#373A36","#2C2A29","#015dab","#70CEE4"
"Prairie View","Prairie View","Prairie View","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/prairie-view.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#330066","#FFCC33",NA,NA,"#ed192d","#000000"
"Presbyterian","Presbyterian","Presbyterian","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/presbyterian.svg","Big South","Big South","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png","#0060A9","#9D2235",NA,NA,"#0082cc","#ec7422"
"Princeton Tigers","Princeton Tigers","Princeton","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Princeton_Tigers_logo.svg/200px-Princeton_Tigers_logo.svg.png","Ivy","Ivy","https://sportslogohistory.com/wp-content/uploads/2019/05/ivy_league_2000-pres.png","#FF671F","#000000",NA,NA,"#01563f","#01563f"
"Providence","Providence","Providence","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/providence.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#000000","#8A8D8F","#ffffff",NA,"#163e79","#DA3742"
