"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"Tarleton St.","Tarleton St.","Tarleton State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tarleton-st.svg","WAC","WAC","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png","#4F2D7F","white",NA,NA,"#98002e","#d9d4cc"
"TCU","TCU","Texas Christian","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tcu.svg","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#4D1979","#A3A9AC","#ffffff",NA,"#b42b36","#B42B36"
"Temple Owls","Temple","Temple","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/temple.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","#0a1f3f","#D0392B"
"Tennessee Volunteers","Tennessee","Tennessee ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#FF8200","#58595B","#ffffff",NA,"#264279","#F8D366"
"Tennessee State Tigers","Tennessee St.","Tennessee State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee-st.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#00539F","#ffffff",NA,NA,"#a51341","#000000"
"Tennessee Tech","Tennessee Tech","Tennessee Tech","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee-tech.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#4F2984","#FFDD00",NA,NA,"#a51341","#000000"
"Texas","Texas","Texas ","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1200px-Texas_Longhorns_logo.svg.png","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#BF5700","#333F48","#ffffff",NA,"#b42b36","#B42B36"
"Texas A&M Aggies","Texas A&M","Texas A&M","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-am.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#500000","#ffffff",NA,NA,"#264279","#F8D366"
"Texas A&M-Corpus Christi","Texas A&M-Corpus Christi","Texas A&M-Corpus Christi","https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg/1200px-Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg.png","Southland","Southland","https://www.southland.org/images/main_logo.png","#0067C5","#007F3E","#9EA2A4","#002E57","#002649","#ffffff"
"Texas Southern Tigers","Texas Southern","Texas Southern ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-southern.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#6F263D","#A2AAAD",NA,NA,"#ed192d","#000000"
"Texas State Bobcats","Texas St.","Texas State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-st.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#501214","#8D734A",NA,NA,"#205296","#F3BA44"
"Texas Tech Red Raiders","Texas Tech","Texas Tech ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-tech.svg","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#CC0000","#000000","#ffffff",NA,"#b42b36","#B42B36"
"The Citadel Bulldogs","The Citadel","Citadel","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/citadel.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#3975B7","#ffffff",NA,NA,"#001489","#da291c"
"Toledo Rockets","Toledo","Toledo","https://a2.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F2649.png","MAC","MAC","https://sportslogohistory.com/wp-content/uploads/2019/02/mid-american_conference_2008-pres.png","#15397F","#005CB9","#FFDA00","#BEC6C3","#142846","#479F66"
"Towson Tigers","Towson","Towson","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/towson.svg","CAA","CAA","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png","#000000","#FFCC00",NA,NA,"#002649","#ffffff"
"Troy Trojans","Troy","Troy","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/troy.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#6D0017","#B2B3B5","#000000",NA,"#205296","#F3BA44"
"Tulane Green Wave","Tulane","Tulane","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tulane.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#006747","#43B02A","#418FDE","#000000","#0a1f3f","#D0392B"
"Tulsa Golden Hurricane","Tulsa","Tulsa","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tulsa.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#002D72","#C8102E","#C5B783","#F3D54E","#0a1f3f","#D0392B"
"UAB","UAB","Alabama-Birmingham","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uab.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#006341","#CC8A00","#000000","#BF0D3E","#003865","#A6192E"
"UC Davis","UC Davis","UC-Davis","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-davis.svg","Big West","Big West","https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png","#002855","#B3A369",NA,NA,"#091359","#961E45"
"UC Irvine","UC Irvine","UC-Irvine","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-irvine.svg","Big West","Big West","https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png","#0C2340","#FFC72C",NA,NA,"#091359","#961E45"
"UC Riverside","UC Riverside","UC-Riverside","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-riverside.svg","Big West","Big West","https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png","#2D6CC0","#003066","#F1AB00","#7A6E67","#091359","#961E45"
"UC San Diego","UC San Diego","UC-San Diego","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-san-diego.svg","Big West","Big West","https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png","#182B49","#C69214","006A96",NA,"#091359","#961E45"
"UC Santa Barbara","UC Santa Barbara","UC-Santa Barbara ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-santa-barbara.svg","Big West","Big West","https://sportslogohistory.com/wp-content/uploads/2019/02/big_west_conference_2000-pres.png","#004D9F","#FFB814",NA,NA,"#091359","#961E45"
"UCF","UCF","Central Florida","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ucf.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#000000","#B7A369",NA,NA,"#0a1f3f","#D0392B"
"UCLA","UCLA","UCLA ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ucla.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#2D68C4","#F2A900","#3284BF","#FFE800","#1d4b8c","#000000"
"UConn","UConn","Connecticut ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uconn.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#000E2F","#ffffff",NA,NA,"#163e79","#DA3742"
"UIC","UIC","Illinois-Chicago","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ill-chicago.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#AC1E2D","#041E42","#FACC09",NA,"#de7c00","#000000"
"UIW","UIW","Incarnate Word","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uiw.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#CB333B","#000000",NA,NA,"#002649","#ffffff"
"ULM","ULM","ULM","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/la-monroe.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#800029","#BD955A","#646469","#DAD86D","#205296","#F3BA44"
"UMass Lowell","UMass Lowell","UMass Lowell","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/umass-lowell.svg","America East","Am. East","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png","#003DA5","#C8102E",NA,NA,"#141b4d","#00b5e2"
"UMBC","UMBC","Maryland-Baltimore County","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/umbc.svg","America East","Am. East","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png","#B18906","#FFC20E","#000000","#ED1C24","#141b4d","#00b5e2"
"UMES","UMES","Maryland-Eastern Shore","https://upload.wikimedia.org/wikipedia/en/6/65/Maryland_Eastern_Shore_Hawks_logo.svg","MEAC","MEAC","https://fbschedules.com/wp-content/uploads/2019/07/meac.png","#822433","#8B8D8E",NA,NA,"#481a72","#f7b04d"
"UNC Asheville","UNC Asheville","North Carolina-Asheville","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-asheville.svg","Big South","Big South","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png","#003DA5","#ffffff",NA,NA,"#0082cc","#ec7422"
"UNC Greensboro","UNC Greensboro","North Carolina-Greensboro ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-greensboro.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#0F2044","#FFB71B",NA,NA,"#001489","#da291c"
"UNCW","UNCW","North Carolina-Wilmington","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-wilmington.svg","CAA","CAA","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png","#006666","#003366","#FFD600",NA,"#002649","#ffffff"
"UNI","UNI","Northern Iowa","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uni.svg","MVC","MVC","https://sportslogohistory.com/wp-content/uploads/2018/03/missouri_valley_conference_logo.png","#4B116F","#FFCC00",NA,NA,"#e51636","#18468b"
"UNLV","UNLV","Nevada-Las Vegas","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/unlv.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#B10202","#666666","#000000",NA,"#4a317a","#AFAFAF"
"USC Upstate","USC Upstate","South Carolina Upstate","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/usc-upstate.svg","Big South","Big South","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png","#00703C","#000000",NA,NA,"#0082cc","#ec7422"
"UT Arlington","UT Arlington","Texas-Arlington","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-arlington.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#F58025","#0064B1",NA,NA,"#205296","#F3BA44"
"UT Martin","UT Martin","Tennessee-Martin","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ut-martin.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#002649","#F77F00",NA,NA,"#a51341","#000000"
"Utah Utes","Utah","Utah","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#CC0000","#808080","#000000",NA,"#1d4b8c","#000000"
"Utah State Aggies","Utah St.","Utah State ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah-st.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#0F2439","#ffffff","#9D968D","#000000","#4a317a","#AFAFAF"
"Utah Valley Wolverines","Utah Valley","Utah Valley","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah-valley.svg","WAC","WAC","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png","#275D38","#000000","#8E8C89",NA,"#98002e","#d9d4cc"
"UTEP","UTEP","Texas-El Paso","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utep.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#FF8200","#041E42","#B1B3B3",NA,"#003865","#A6192E"
"UTRGV","UTRGV","Texas-Rio Grande Valley","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utrgv.svg","WAC","WAC","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png","#FFA300","#F05023","#00843D","#0C2340","#98002e","#d9d4cc"
"UTSA","UTSA","Texas-San Antonio","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utsa.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#F15A22","#0C2340",NA,NA,"#003865","#A6192E"
"Valparaiso Crusaders","Valparaiso","Valparaiso","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/valparaiso.svg","MVC","MVC","https://sportslogohistory.com/wp-content/uploads/2018/03/missouri_valley_conference_logo.png","#381E0E","#613318","#FFCC00",NA,"#e51636","#18468b"
"Vanderbilt Commodores","Vanderbilt","Vanderbilt","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vanderbilt.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#000000","#866D4B",NA,NA,"#264279","#F8D366"
"VCU","VCU","Virginia Commonwealth ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vcu.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#FFB300","#000000",NA,NA,"#cf352a","#000000"
"Vermont Catamounts","Vermont","Vermont","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vermont.svg","America East","Am. East","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png","#154734","#8B5B29","#FFC72C","#C6AA76","#141b4d","#00b5e2"
"Villanova Wildcats","Villanova","Villanova ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/villanova.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#00205B","#13B5EA","#8B634B",NA,"#163e79","#DA3742"
"Virginia Cavaliers","Virginia","Virginia ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia.svg","ACC","ACC","https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png","#232D4B","#F84C1E","#ffffff",NA,"#204c88","#A8A9AB"
"Virginia Tech Hokies","Virginia Tech","Virginia Tech ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia-tech.svg","ACC","ACC","https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png","#630031","#CF4420",NA,NA,"#204c88","#A8A9AB"
"VMI","VMI","VMI","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vmi.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#AE122A","#FFD619",NA,NA,"#001489","#da291c"
"Wagner","Wagner","Wagner","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wagner.svg","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#004331","#ffffff",NA,NA,"#0d67a4","#231f20"
"Wake Forest Demon Deacons","Wake Forest","Wake Forest","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wake-forest.svg","ACC","ACC","https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png","#A67F31","#000000",NA,NA,"#204c88","#A8A9AB"
"Washington Huskies","Washington","Washington","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/washington.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#4B2E83","#B7A57A","#85754D",NA,"#1d4b8c","#000000"
"Washington State Cougars","Washington St.","Washington State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/washington-st.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#981E32","#5E6A71",NA,NA,"#1d4b8c","#000000"
"Weber State Wildcats","Weber St.","Weber State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/weber-st.svg","Big Sky","Big Sky","https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png","#A1A1A4","#130C0E",NA,NA,"#015dab","#70CEE4"
"West Virginia Mountaineers","West Virginia","West Virginia ","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/1200px-West_Virginia_Mountaineers_logo.svg.png","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#002855","#EAAA00",NA,NA,"#b42b36","#B42B36"
"Western Carolina Catamounts","Western Caro.","Western Carolina","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-caro.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#592C88","#B9975B",NA,NA,"#001489","#da291c"
"Western Illinois Leathernecks","Western Ill.","Western Illinois","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-ill.svg","Summit League","Summit","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Summit_League_logo.svg/250px-Summit_League_logo.svg.png","#663399","#FFCC00",NA,NA,"#215499","#939598"
"Western Kentucky Hilltoppers","Western Ky.","Western Kentucky","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-ky.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#C60C30","#1E1E1E","#A2A4A3",NA,"#003865","#A6192E"
"Western Michigan Broncos","Western Mich.","Western Michigan","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-mich.svg","MAC","MAC","https://sportslogohistory.com/wp-content/uploads/2019/02/mid-american_conference_2008-pres.png","#6C4023","#B5A167","#AAA8AA","#000000","#142846","#479F66"
"Wichita State Shockers","Wichita St.","Wichita State ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wichita-st.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#FFCD00","#000000",NA,NA,"#0a1f3f","#D0392B"
"William & Mary","William & Mary","William & Mary","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/william-mary.svg","CAA","CAA","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png","#115740","#F0B323","#D0D3D4",NA,"#002649","#ffffff"
"Winthrop Eagles","Winthrop","Winthrop ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/winthrop.svg","Big South","Big South","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png","#872434","#FFC82E",NA,NA,"#0082cc","#ec7422"
"Wisconsin","Wisconsin","Wisconsin ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wisconsin.svg","Big Ten","Big 10","https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png","#C5050C","#ffffff","#9B0000",NA,"#0088ce","#000000"
"Wofford","Wofford","Wofford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wofford.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#886E4C","#000000",NA,NA,"#001489","#da291c"
"Wright State Raiders","Wright St.","Wright State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wright-st.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#026937","#CEA052","#FFE1A5","#DE6328","#de7c00","#000000"
"Wyoming Cowboys","Wyoming","Wyoming","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wyoming_Athletics_logo.svg/346px-Wyoming_Athletics_logo.svg.png","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#FFC425","#492F24",NA,NA,"#4a317a","#AFAFAF"
"Xavier Musketeers","Xavier","Xavier","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/xavier.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#0C2340","#9EA2A2","#0099CC",NA,"#163e79","#DA3742"
"Yale Bulldogs","Yale Bulldogs","Yale","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/yale.svg","Ivy","Ivy","https://sportslogohistory.com/wp-content/uploads/2019/05/ivy_league_2000-pres.png","#00356B","#ffffff",NA,NA,"#01563f","#01563f"
"Youngstown State Penguins","Youngstown St.","Youngstown State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/youngstown-st.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#C8102E","#F3D54E",NA,NA,"#de7c00","#000000"
