Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Ball State,South Dakota State,South Dakota State,2025-12-09,-3.6,0.631393436537574,138.672913318986
South Dakota State,Ball State,South Dakota State,2025-12-09,-3.6,0.631393436537574,138.672913318986
South Dakota State,Ball State,Ball State,2025-12-09,3.6,0.368606563462426,138.672913318986
DePaul,Morgan State,DePaul,2025-12-09,-19.6,0.961081886965122,150.765456717663
DePaul,Morgan State,Morgan State,2025-12-09,19.6,0.038918113034878,150.765456717663
Morgan State,DePaul,Morgan State,2025-12-09,19.6,0.038918113034878,150.765456717663
Morgan State,DePaul,DePaul,2025-12-09,-19.6,0.961081886965122,150.765456717663
UMBC,Buffalo,UMBC,2025-12-09,0.3,0.48887284803559,149.338623755528
UMBC,Buffalo,Buffalo,2025-12-09,-0.3,0.51112715196441,149.338623755528
Buffalo,UMBC,Buffalo,2025-12-09,-0.3,0.51112715196441,149.338623755528
Buffalo,UMBC,UMBC,2025-12-09,0.3,0.48887284803559,149.338623755528
San Jose State,Long Beach State,San Jose State,2025-12-09,-8.5,0.790572977009843,139.320904548693
San Jose State,Long Beach State,Long Beach State,2025-12-09,8.5,0.209427022990157,139.320904548693
Long Beach State,San Jose State,Long Beach State,2025-12-09,8.5,0.209427022990157,139.320904548693
Long Beach State,San Jose State,San Jose State,2025-12-09,-8.5,0.790572977009843,139.320904548693
Saint Joseph's,Coppin State,Saint Joseph's,2025-12-09,-22,0.975331139961103,146.85129496287
Saint Joseph's,Coppin State,Coppin State,2025-12-09,22,0.024668860038897,146.85129496287
Coppin State,Saint Joseph's,Coppin State,2025-12-09,22,0.024668860038897,146.85129496287
Coppin State,Saint Joseph's,Saint Joseph's,2025-12-09,-22,0.975331139961103,146.85129496287
Howard,North Carolina A&T,Howard,2025-12-09,0.8,0.471166553771866,148.751663657944
Howard,North Carolina A&T,North Carolina A&T,2025-12-09,-0.8,0.528833446228134,148.751663657944
North Carolina A&T,Howard,North Carolina A&T,2025-12-09,-0.8,0.528833446228134,148.751663657944
North Carolina A&T,Howard,Howard,2025-12-09,0.8,0.471166553771866,148.751663657944
VMI,Loyola Maryland,VMI,2025-12-09,-0.3,0.509768976234461,147.427401460897
VMI,Loyola Maryland,Loyola Maryland,2025-12-09,0.3,0.490231023765539,147.427401460897
Loyola Maryland,VMI,Loyola Maryland,2025-12-09,0.3,0.490231023765539,147.427401460897
Loyola Maryland,VMI,VMI,2025-12-09,-0.3,0.509768976234461,147.427401460897
Rider,Bucknell,Rider,2025-12-09,-1.1,0.539559766366119,139.622288202093
Rider,Bucknell,Bucknell,2025-12-09,1.1,0.460440233633881,139.622288202093
Bucknell,Rider,Bucknell,2025-12-09,1.1,0.460440233633881,139.622288202093
Bucknell,Rider,Rider,2025-12-09,-1.1,0.539559766366119,139.622288202093
Nebraska,Wisconsin,Nebraska,2025-12-10,-3.4,0.623069704153873,154.650612600826
Nebraska,Wisconsin,Wisconsin,2025-12-10,3.4,0.376930295846127,154.650612600826
Wisconsin,Nebraska,Wisconsin,2025-12-10,3.4,0.376930295846127,154.650612600826
Wisconsin,Nebraska,Nebraska,2025-12-10,-3.4,0.623069704153873,154.650612600826
Purdue,Minnesota,Purdue,2025-12-10,-20.2,0.973035240911589,142.564697731878
Purdue,Minnesota,Minnesota,2025-12-10,20.2,0.0269647590884109,142.564697731878
Minnesota,Purdue,Minnesota,2025-12-10,20.2,0.0269647590884109,142.564697731878
Minnesota,Purdue,Purdue,2025-12-10,-20.2,0.973035240911589,142.564697731878
NC State,Liberty,NC State,2025-12-10,-12.4,0.872491481754124,153.01872467336
NC State,Liberty,Liberty,2025-12-10,12.4,0.127508518245876,153.01872467336
Liberty,NC State,Liberty,2025-12-10,12.4,0.127508518245876,153.01872467336
Liberty,NC State,NC State,2025-12-10,-12.4,0.872491481754124,153.01872467336
VCU,New Mexico,VCU,2025-12-10,-8.5,0.77567342286705,153.328315063191
VCU,New Mexico,New Mexico,2025-12-10,8.5,0.22432657713295,153.328315063191
New Mexico,VCU,New Mexico,2025-12-10,8.5,0.22432657713295,153.328315063191
New Mexico,VCU,VCU,2025-12-10,-8.5,0.77567342286705,153.328315063191
Boise State,Duquesne,Boise State,2025-12-10,-11,0.843156090219313,148.638309986354
Boise State,Duquesne,Duquesne,2025-12-10,11,0.156843909780687,148.638309986354
Duquesne,Boise State,Duquesne,2025-12-10,11,0.156843909780687,148.638309986354
Duquesne,Boise State,Boise State,2025-12-10,-11,0.843156090219313,148.638309986354
San Diego State,Lamar,San Diego State,2025-12-10,-17.2,0.943703058987982,135.106762199647
San Diego State,Lamar,Lamar,2025-12-10,17.2,0.056296941012018,135.106762199647
Lamar,San Diego State,Lamar,2025-12-10,17.2,0.056296941012018,135.106762199647
Lamar,San Diego State,San Diego State,2025-12-10,-17.2,0.943703058987982,135.106762199647
Baylor,Norfolk State,Baylor,2025-12-10,-17.8,0.950119560226933,146.810151652996
Baylor,Norfolk State,Norfolk State,2025-12-10,17.8,0.0498804397730673,146.810151652996
Norfolk State,Baylor,Norfolk State,2025-12-10,17.8,0.0498804397730673,146.810151652996
Norfolk State,Baylor,Baylor,2025-12-10,-17.8,0.950119560226933,146.810151652996
Notre Dame,Idaho,Notre Dame,2025-12-10,-11.9,0.871022417942979,143.692819563684
Notre Dame,Idaho,Idaho,2025-12-10,11.9,0.128977582057021,143.692819563684
Idaho,Notre Dame,Idaho,2025-12-10,11.9,0.128977582057021,143.692819563684
Idaho,Notre Dame,Notre Dame,2025-12-10,-11.9,0.871022417942979,143.692819563684
Utah Valley,Idaho State,Utah Valley,2025-12-10,-11.9,0.865966343882909,140.283855724665
Utah Valley,Idaho State,Idaho State,2025-12-10,11.9,0.134033656117091,140.283855724665
Idaho State,Utah Valley,Idaho State,2025-12-10,11.9,0.134033656117091,140.283855724665
