"spread","result","cover_prob","push_prob","not_cover_prob"
-60,-60,0,0.04356280747993122,0.9564371925200688
-60,-59,0,0.04090659719797143,0.9590934028020286
-60,-58,0,0.038297338812853396,0.9617026611871466
-60,-57,0,0.0357375488879098,0.9642624511120902
-60,-56,0,0.0332301689367477,0.9667698310632523
-60,-55,0,0.030778608382423824,0.9692213916175761
-60,-54,0,0.028386783160659766,0.9716132168393402
-60,-53,0,0.02605914584758437,0.9739408541524156
-60,-52,0,0.023800701915400565,0.9761992980845995
-60,-51,0,0.02161700536298917,0.9783829946370108
-60,-50,0,0.01951412569791071,0.9804858743020893
-60,-49,0,0.017498577330548108,0.9825014226694518
-60,-48,0,0.015577202267703727,0.9844227977322962
-60,-47,0,0.013756998056759964,0.98624300194324
-60,-46,0,0.012044885777614792,0.9879551142223852
-60,-45,0,0.01044741797876871,0.9895525820212313
-60,-44,0,0.00897043400231343,0.9910295659976865
-60,-43,0,0.007618679807098258,0.9923813201929017
-60,-42,0,0.006395420079327089,0.9936045799206729
-60,-41,0,0.005302080148608876,0.9946979198513911
-60,-40,0,0.004337961363072652,0.9956620386369274
-60,-39,0,0.0035000733817809678,0.9964999266182191
-60,-38,0,0.0027831184006067537,0.9972168815993933
-60,-37,0,0.0021796455305478917,0.997820354469452
-60,-36,0,0.001680370698134136,0.9983196293018659
-60,-35,0,0.0012746330434142254,0.9987253669565858
-60,-34,0,9.509384109760576e-4,0.999049061589024
-60,-33,0,6.975290162534881e-4,0.9993024709837465
-60,-32,0,5.029182272008361e-4,0.9994970817727992
-60,-31,0,3.563399962968833e-4,0.9996436600037031
-60,-30,0,2.4808043556205596e-4,0.999751919564438
-60,-29,0,1.6967957031761177e-4,0.9998303204296823
-60,-28,0,1.1400987414985679e-4,0.9998859901258501
-60,-27,0,7.525165913286122e-5,0.9999247483408671
-60,-26,0,4.8792569547671385e-5,0.9999512074304523
-60,-25,0,3.107978061999358e-5,0.99996892021938
-60,-24,0,1.9450547156700694e-5,0.9999805494528433
-60,-23,0,1.1961324255922183e-5,0.999988038675744
