Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Omaha Mavericks vs. N Colorado Bears,Dec 03 08:05PM ET,Omaha Mavericks,3,3.5,2.0,3.0,0.5160342270972185,3.5,-0.0077752967123053685,1.7,-1.3,2.0,2.0,2.1,0.4150355435147313,146,0.39007108702946264,0.009341007635863652,0.068,0.55,0.44,0.427166937870795,2,157.0,157.5,157.0,157.0,1.0,157.0,158.0,156.647692179626,158.97,0.49222081404751,0.49222081404751,-0.031588709762013834,-0.031588709762013834,1,1,0,0
Monmouth Hawks vs. Princeton Tigers,Dec 03 08:05PM ET,Monmouth Hawks,2,-5.0,-5.75,-5.5,0.5168516246190507,-5.0,-0.006957899190473182,0.5,-5.7,-5.0,-6.2,-5.8,0.6930538909710195,-227,0.66788144810005,-0.0015848036676751054,0.028,0.72,0.67,0.718226333841989,2,140.0,142.975,141.0,140.0,0.9,142.0,143.0,144.164200885417,142.95,0.5077821418769288,0.4766713132888295,-0.01602738193259501,-0.047138210520694335,0,1,1,0
Illinois St Redbirds vs. Eastern Kentucky Colonels,Dec 03 08:05PM ET,Eastern Kentucky Colonels,3,13.0,14.65,13.5,0.4839657729027816,13.0,-0.03984375090674225,2.3,15.3,14.0,16.2,11.0,0.10999999999999996,700,0.12000000000000002,-0.015000000000000041,0.021,0.1099999999999999,0.0999999999999999,0.0695450369549006,3,153.5,152.28574264180048,153.0,153.5,2.1,153.0,152.0,152.571485283601,148.4,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,0,1,0,1
Illinois St Redbirds vs. Eastern Kentucky Colonels,Dec 03 08:05PM ET,Illinois St Redbirds,3,-13.0,-14.65,-13.5,0.5160342270972185,-13.0,-0.0077752967123053685,2.3,-15.3,-14.0,-16.2,-11.0,0.8900000000000001,-1100,0.8800000000000001,-0.026666666666666505,0.021,0.89,0.9,0.930454963045099,3,153.5,152.28574264180048,153.0,153.5,2.1,153.0,152.0,152.571485283601,148.4,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,0,1,0,1
Monmouth Hawks vs. Princeton Tigers,Dec 03 08:05PM ET,Princeton Tigers,2,5.0,5.75,5.5,0.4831483753809493,5.0,-0.040661148428574545,0.5,5.7,5.0,6.2,5.8,0.30694610902898056,189,0.33211855189995004,-0.038478064697305026,0.028,0.28,0.3299999999999999,0.281773666158011,2,140.0,142.975,141.0,140.0,0.9,142.0,143.0,144.164200885417,142.95,0.5077821418769288,0.4766713132888295,-0.01602738193259501,-0.047138210520694335,0,1,1,0
Alabama A&M Bulldogs vs. Tennessee St Tigers,Dec 03 08:05PM ET,Alabama A&M Bulldogs,3,4.5,1.75,3.5,0.5320425632110974,4.5,0.008233039401573605,2.4,-0.2,3.0,0.5,5.0,0.42567706238734326,160,0.3690596562184025,0.04106167777195863,0.063,0.51,0.39,0.482294468556284,2,147.5,148.1163158980745,147.5,147.5,5.1,155.0,143.0,146.582631796149,149.64999999999998,0.5,0.5,-0.023809523809523836,-0.030516431924882625,0,1,0,0
Northern Arizona Lumberjacks vs. South Dakota St Jackrabbits,Dec 03 08:05PM ET,South Dakota St Jackrabbits,3,-3.0,-1.15,-2.5,0.4839657729027816,-3.0,-0.03756532757568726,0.4,-1.0,-1.0,-1.3,-1.8,0.5614963205233033,-155,0.5829926410466066,-0.04634681673159857,0.02,0.54,0.51,0.546881689588173,2,148.5,144.895296321223,147.0,148.5,1.9,145.0,147.0,144.790592642446,142.25,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,1,1,0,1
Evansville Purple Aces vs. Ball State Cardinals,Dec 03 08:05PM ET,Ball State Cardinals,1,6.5,4.65,6.0,0.5173678180739623,6.5,-0.006441705735561576,0.8,4.3,5.0,3.4,5.2,0.3155421016709219,229,0.2910842033418438,0.01158792576552653,0.023,0.3299999999999999,0.3399999999999999,0.373710949570609,2,136.5,138.2393457404055,137.0,136.5,0.8,137.0,139.0,138.308691480811,138.17,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,1,1,1,0
UMKC Kangaroos vs. Idaho State Bengals,Dec 03 08:05PM ET,UMKC Kangaroos,2,5.5,5.5,5.5,0.5,5.5,-0.023809523809523836,1.9,2.8,6.0,5.0,7.2,0.32979632089122507,185,0.33635187580853815,-0.02108087209123105,0.046,0.38,0.29,0.323240765973912,2,137.75,137.0159668286695,137.5,137.75,2.9,133.0,140.0,137.101933657339,136.93,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,0
Evansville Purple Aces vs. Ball State Cardinals,Dec 03 08:05PM ET,Evansville Purple Aces,1,-6.5,-4.65,-6.0,0.4826321819260377,-6.5,-0.04117734188348615,0.8,-4.3,-5.0,-3.4,-5.2,0.6844578983290781,-285,0.7089157966581563,-0.05580184193066218,0.023,0.67,0.66,0.626289050429391,2,136.5,138.2393457404055,137.0,136.5,0.8,137.0,139.0,138.308691480811,138.17,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,1,1,1,0
