Game,Game Time,Home Team,Away Team,Team,Moneyline,Devigged Probability,Opening Spread,Spread Price,Projected Total,Over Point,Over Price,Under Point,Under Price
UNC Asheville Bulldogs vs. Miami (OH) RedHawks,Dec 10 06:00PM ET,UNC Asheville Bulldogs,Miami (OH) RedHawks,Miami (OH) RedHawks,-191.99999999999997,0.6291404186141029,-3.5,-110.0,152.5,152.5,-105.0,152.5,-115.0
UNC Asheville Bulldogs vs. Miami (OH) RedHawks,Dec 10 06:00PM ET,UNC Asheville Bulldogs,Miami (OH) RedHawks,UNC Asheville Bulldogs,157.99999999999997,0.3708595813858973,3.5,-110.0,152.5,152.5,-105.0,152.5,-115.0
VCU Rams vs. New Mexico Lobos,Dec 10 07:00PM ET,VCU Rams,New Mexico Lobos,New Mexico Lobos,432.3943661971831,0.18002928466840468,10.5,-110.5,152.5,152.5,-110.0,152.5,-110.0
NC State Wolfpack vs. Liberty Flames,Dec 10 07:00PM ET,NC State Wolfpack,Liberty Flames,NC State Wolfpack,-874.3589743589746,0.8600229082754801,-11.5,-110.0,157.0,157.0,-110.0,157.0,-110.0
St. Bonaventure Bonnies vs. Colgate Raiders,Dec 10 07:00PM ET,St. Bonaventure Bonnies,Colgate Raiders,Colgate Raiders,570.0000000000001,0.14296463506395785,11.5,-110.0,139.5,139.5,-115.0,139.5,-105.0
South Florida Bulls vs. Charleston Cougars,Dec 10 07:00PM ET,South Florida Bulls,Charleston Cougars,South Florida Bulls,-1799.999999999998,0.9062191510365252,-14.5,-111.0,156.0,156.0,-110.0,156.0,-110.0
South Florida Bulls vs. Charleston Cougars,Dec 10 07:00PM ET,South Florida Bulls,Charleston Cougars,Charleston Cougars,919.9999999999999,0.09378084896347484,14.5,-105.0,156.0,156.0,-110.0,156.0,-110.0
Purdue Boilermakers vs. Minnesota Golden Gophers,Dec 10 07:00PM ET,Purdue Boilermakers,Minnesota Golden Gophers,Purdue Boilermakers,-3999.9999999999964,0.9360374414976599,-18.5,-110.0,141.5,141.5,-110.0,141.5,-110.0
Purdue Boilermakers vs. Minnesota Golden Gophers,Dec 10 07:00PM ET,Purdue Boilermakers,Minnesota Golden Gophers,Minnesota Golden Gophers,1400.0,0.06396255850234009,18.5,-110.0,141.5,141.5,-110.0,141.5,-110.0
Notre Dame Fighting Irish vs. Idaho Vandals,Dec 10 07:00PM ET,Notre Dame Fighting Irish,Idaho Vandals,Notre Dame Fighting Irish,-809.8901098901096,0.8526297054373942,-11.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
Notre Dame Fighting Irish vs. Idaho Vandals,Dec 10 07:00PM ET,Notre Dame Fighting Irish,Idaho Vandals,Idaho Vandals,550.0,0.14737029456260567,11.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
VCU Rams vs. New Mexico Lobos,Dec 10 07:00PM ET,VCU Rams,New Mexico Lobos,VCU Rams,-592.0577617328519,0.8199707153315953,-10.5,-107.5,152.5,152.5,-110.0,152.5,-110.0
St. Bonaventure Bonnies vs. Colgate Raiders,Dec 10 07:00PM ET,St. Bonaventure Bonnies,Colgate Raiders,St. Bonaventure Bonnies,-850.0,0.857035364936042,-11.5,-110.0,139.5,139.5,-115.0,139.5,-105.0
NC State Wolfpack vs. Liberty Flames,Dec 10 07:00PM ET,NC State Wolfpack,Liberty Flames,Liberty Flames,584.6715328467154,0.13997709172451991,11.5,-110.0,157.0,157.0,-110.0,157.0,-110.0
Marshall Thundering Herd vs. Western Kentucky Hilltoppers,Dec 10 07:00PM ET,Marshall Thundering Herd,Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,104.00000000000001,0.46874999999999994,1.0,-110.0,162.0,162.0,-110.0,162.0,-110.0
Massachusetts Minutemen vs. Boston College Eagles,Dec 10 07:00PM ET,Massachusetts Minutemen,Boston College Eagles,Boston College Eagles,-131.98275862068968,0.5455418599390973,-3.0,-110.0,139.0,139.0,-110.0,139.0,-110.0
Marshall Thundering Herd vs. Western Kentucky Hilltoppers,Dec 10 07:00PM ET,Marshall Thundering Herd,Western Kentucky Hilltoppers,Marshall Thundering Herd,-125.00000000000001,0.53125,-1.0,-106.0,162.0,162.0,-110.0,162.0,-110.0
Iona Gaels vs. Bryant Bulldogs,Dec 10 07:00PM ET,Iona Gaels,Bryant Bulldogs,Iona Gaels,-690.0,0.8351419031719534,-10.5,-110.0,149.5,149.5,-110.0,149.5,-110.0
Iona Gaels vs. Bryant Bulldogs,Dec 10 07:00PM ET,Iona Gaels,Bryant Bulldogs,Bryant Bulldogs,480.0,0.16485809682804678,10.5,-110.0,149.5,149.5,-110.0,149.5,-110.0
GW Revolutionaries vs. Delaware Blue Hens,Dec 10 07:00PM ET,GW Revolutionaries,Delaware Blue Hens,GW Revolutionaries,-4737.113402061853,0.9448252227553119,-21.0,-110.0,158.5,158.5,-110.0,158.5,-110.0
GW Revolutionaries vs. Delaware Blue Hens,Dec 10 07:00PM ET,GW Revolutionaries,Delaware Blue Hens,Delaware Blue Hens,1648.5714285714284,0.055174777244688146,21.0,-110.0,158.5,158.5,-110.0,158.5,-110.0
Fordham Rams vs. Fairleigh Dickinson Knights,Dec 10 07:00PM ET,Fordham Rams,Fairleigh Dickinson Knights,Fordham Rams,-1400.0000000000002,0.8936170212765957,-13.5,-110.0,144.5,144.5,-115.0,144.5,-105.0
Fordham Rams vs. Fairleigh Dickinson Knights,Dec 10 07:00PM ET,Fordham Rams,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,800.0,0.10638297872340424,13.5,-110.0,144.5,144.5,-115.0,144.5,-105.0
Massachusetts Minutemen vs. Boston College Eagles,Dec 10 07:00PM ET,Massachusetts Minutemen,Boston College Eagles,Massachusetts Minutemen,110.99526066350711,0.45445814006090274,3.0,-110.0,139.0,139.0,-110.0,139.0,-110.0
Utah Valley Wolverines vs. Idaho State Bengals,Dec 10 08:00PM ET,Utah Valley Wolverines,Idaho State Bengals,Utah Valley Wolverines,-684.7133757961782,0.8332037603173129,-10.75,-110.5,142.0,142.0,-110.0,142.0,-110.0
Utah Valley Wolverines vs. Idaho State Bengals,Dec 10 08:00PM ET,Utah Valley Wolverines,Idaho State Bengals,Idaho State Bengals,472.48908296943233,0.16679623968268703,10.75,-107.5,142.0,142.0,-110.0,142.0,-110.0
Fort Wayne Mastodons vs. Eastern Michigan Eagles,Dec 10 08:00PM ET,Fort Wayne Mastodons,Eastern Michigan Eagles,Eastern Michigan Eagles,142.96296296296293,0.393770872181228,3.25,-108.0,149.5,149.5,-107.5,149.5,-111.5
Fort Wayne Mastodons vs. Eastern Michigan Eagles,Dec 10 08:00PM ET,Fort Wayne Mastodons,Eastern Michigan Eagles,Fort Wayne Mastodons,-172.9670329670329,0.6062291278187718,-3.25,-110.0,149.5,149.5,-107.5,149.5,-111.5
Houston Cougars vs. Jackson St Tigers,Dec 10 08:00PM ET,Houston Cougars,Jackson St Tigers,Houston Cougars,,,-38.5,-118.0,135.5,135.5,-110.0,135.5,-110.0
Houston Cougars vs. Jackson St Tigers,Dec 10 08:00PM ET,Houston Cougars,Jackson St Tigers,Jackson St Tigers,,,38.5,-104.0,135.5,135.5,-110.0,135.5,-110.0
Nebraska Cornhuskers vs. Wisconsin Badgers,Dec 10 09:00PM ET,Nebraska Cornhuskers,Wisconsin Badgers,Wisconsin Badgers,-118.99543378995435,0.5195508119770313,-1.5,-110.0,160.0,160.0,-110.0,160.0,-110.0
Nebraska Cornhuskers vs. Wisconsin Badgers,Dec 10 09:00PM ET,Nebraska Cornhuskers,Wisconsin Badgers,Nebraska Cornhuskers,-100.9950248756219,0.48044918802296865,1.5,-110.0,160.0,160.0,-110.0,160.0,-110.0
Baylor Bears vs. Norfolk St Spartans,Dec 10 12:00PM ET,Baylor Bears,Norfolk St Spartans,Norfolk St Spartans,2800.0,0.03365544818393868,24.5,-110.0,145.5,145.5,-110.0,145.5,-110.0
Baylor Bears vs. Norfolk St Spartans,Dec 10 12:00PM ET,Baylor Bears,Norfolk St Spartans,Baylor Bears,-9999.99999999999,0.9663445518160613,-24.5,-110.0,145.5,145.5,-110.0,145.5,-110.0
