Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
North Alabama Lions vs. North Florida Ospreys,Jan 15 07:00PM ET,2026-01-15 01:54:26 UTC,North Alabama Lions,3,-9.5,-9.5,-8.25,-9.0,0.4839657729027816,-9.5,-0.0398437509067422,-0.0282293490484379,1.0,-6.8,-8.0,-8.5,-9.1,0.7845619219049891,-440.0,-516,0.7991238438099783,-0.0530449157018485,-0.0418774703557311,0.03,0.73,0.77,0.789323876290371,2,157.5,156.915,157.5,158.5,157.5,0.6,157.0,158.0,156.573608511637,156.82999999999998,0.5,0.5,-0.0238095238095238,-0.0238095238095238,-0.0315887097620138,-0.0160303378570338,1,1,0,0
Cleveland St Vikings vs. Green Bay Phoenix,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Cleveland St Vikings,3,3.5,3.5,3.95,3.5,0.5,2.5,-0.0337995337995338,-0.0145631067961164,1.7,4.9,3.0,1.8,5.4,0.3953171427597104,130.0,140,0.4006342855194207,-0.0213495239069563,-0.0165135930555762,0.057,0.3199999999999999,0.39,0.432426800747175,2,150.5,151.0,150.5,149.5,150.5,0.8,151.0,151.0,152.183210580948,150.39,0.5,0.5,-0.0121951219512195,-0.0348837209302325,-0.0044159359987294,-0.0426629068827225,0,0,0,0
Vermont Catamounts vs. Maine Black Bears,Jan 15 07:00PM ET,2026-01-15 01:54:26 UTC,Vermont Catamounts,1,-14.5,-14.5,-13.25,-14.0,0.4826321819260377,-13.5,-0.0388989185524311,-0.0454545454545454,2.3,-15.5,-12.0,-10.5,-14.5,0.8774464419005364,-1450.0,-1444,0.8948928838010729,-0.0577762301642409,-0.0614723285764009,0.042,0.93,0.86,0.854954691425964,3,129.5,131.21,130.0,129.5,129.5,0.8,131.0,132.0,130.041087782143,131.42000000000002,0.5075229437220032,0.4924770562779967,-0.0262765900775305,-0.0209049388558232,0.0100927175120739,-0.0563276162313036,0,0,1,0
Vermont Catamounts vs. Maine Black Bears,Jan 15 07:00PM ET,2026-01-15 01:54:26 UTC,Maine Black Bears,1,14.5,14.5,13.25,14.0,0.5173678180739623,13.5,-0.0086985326369382,0.0,2.3,15.5,12.0,10.5,14.5,0.1225535580994635,850.0,810,0.1051071161989271,0.0127096205244335,0.0150327000934288,0.042,0.0699999999999999,0.14,0.145045308574036,3,129.5,131.21,130.0,129.5,129.5,0.8,131.0,132.0,130.041087782143,131.42000000000002,0.5075229437220032,0.4924770562779967,-0.0262765900775305,-0.0209049388558232,0.0100927175120739,-0.0563276162313036,0,0,1,0
Northeastern Huskies vs. Elon Phoenix,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Elon Phoenix,3,-2.5,-2.5,-1.55,-2.0,0.4839657729027816,-3.5,-0.0454459918031007,-0.0282293490484379,1.1,-2.0,-2.0,0.3,-1.1,0.5750206261071876,-148.0,-152,0.5800412522143753,-0.0281289801920249,-0.02416960058032,0.047,0.57,0.57,0.489322702097242,1,157.5,165.095,160.5,162.5,157.5,3.5,168.0,164.0,159.904690950584,166.19,0.5511692441577363,0.4488307558422637,0.0273597203482124,-0.0749787679672601,-0.0021325547955441,-0.0454001012276779,1,1,1,0
Cleveland St Vikings vs. Green Bay Phoenix,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Green Bay Phoenix,3,-3.5,-3.5,-3.95,-3.5,0.5,-2.5,-0.0133819951338199,-0.0327102803738317,1.7,-4.9,-3.0,-1.8,-5.4,0.6046828572402896,-155.0,-165,0.5993657144805791,-0.0186679726646613,-0.0212793018801759,0.057,0.68,0.61,0.567573199252825,2,150.5,151.0,150.5,149.5,150.5,0.8,151.0,151.0,152.183210580948,150.39,0.5,0.5,-0.0121951219512195,-0.0348837209302325,-0.0044159359987294,-0.0426629068827225,0,0,0,0
Delaware Blue Hens vs. UTEP Miners,Jan 15 07:00PM ET,2026-01-14 20:51:32 UTC,Delaware Blue Hens,1,-2.0,-2.0,-3.15,-2.5,0.5173678180739623,-2.5,-0.0098189431553521,-0.0175159028562702,0.3,-3.3,-3.0,-2.9,-3.5,0.5836707815897727,-142.0,-136,0.5537452526090704,0.0065207726500265,0.0054140182626821,0.026,0.65,0.6,0.613596310570475,1,125.5,126.705,126.0,127.5,125.5,3.0,125.0,127.0,131.956348366938,126.41,0.5085510713084638,0.4914489286915363,-0.01525845250106,-0.0323605951179875,-0.0238095238095238,-0.0238095238095238,1,1,0,0
Delaware Blue Hens vs. UTEP Miners,Jan 15 07:00PM ET,2026-01-14 20:51:32 UTC,UTEP Miners,1,2.0,2.0,3.15,2.5,0.4826321819260377,2.5,-0.0400408491002152,-0.0295629400251818,0.3,3.3,3.0,2.9,3.5,0.4163292184102274,120.0,115,0.4462547473909297,-0.04878706065954,-0.0507628096188082,0.026,0.35,0.4,0.386403689429525,1,125.5,126.705,126.0,127.5,125.5,3.0,125.0,127.0,131.956348366938,126.41,0.5085510713084638,0.4914489286915363,-0.01525845250106,-0.0323605951179875,-0.0238095238095238,-0.0238095238095238,1,1,0,0
UNC Greensboro Spartans vs. The Citadel Bulldogs,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,The Citadel Bulldogs,3,9.5,9.5,11.0,10.0,0.4839657729027816,9.5,-0.0541404626630382,-0.0509179480274509,1.2,12.9,10.0,10.9,11.1,0.1791473762399575,360.0,350,0.21302217423802,-0.0431846395703191,-0.0407667973429261,0.025,0.12,0.17,0.145272578241895,2,148.5,150.3,149.0,149.5,148.5,2.0,151.0,150.0,146.633402428341,150.60000000000002,0.50777918595249,0.49222081404751,-0.0271045349777424,-0.0199743079037095,-0.0271045349777424,-0.0199743079037095,1,1,0,0
UNC Greensboro Spartans vs. The Citadel Bulldogs,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,UNC Greensboro Spartans,3,-9.5,-9.5,-11.0,-10.0,0.5160342270972185,-9.5,0.0074347184977098,0.0038391051459989,1.2,-12.9,-10.0,-10.9,-11.1,0.8208526237600424,-470.0,-460,0.7869778257619799,-0.0005189870852526,-0.0037534521004221,0.025,0.88,0.83,0.854727421758105,2,148.5,150.3,149.0,149.5,148.5,2.0,151.0,150.0,146.633402428341,150.60000000000002,0.50777918595249,0.49222081404751,-0.0271045349777424,-0.0199743079037095,-0.0271045349777424,-0.0199743079037095,1,1,0,0
