Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Grand Canyon Antelopes vs. New Mexico Lobos,Feb 11 10:07PM ET,2026-02-12 05:17:51 UTC,Grand Canyon Antelopes,,3.5,3.5,-1.6,1.5,,,,,1.3,-2.2,-1.0,-2.8,0.1,0.4279394387001477,1000,255,0.2658788774002954,0.1462492978550773,0.1462492978550773,0.04,0.59,0.53,0.606816717313181,2,,144.57999999999998,58.0,,,1.7,144.0,145.0,147.602114631481,144.16,,,,,,,1,1,0,0
Grand Canyon Antelopes vs. New Mexico Lobos,Feb 11 10:07PM ET,2026-02-12 05:17:51 UTC,New Mexico Lobos,,-3.5,-3.5,1.6,-1.5,,,,,1.3,2.2,1.0,2.8,-0.1,0.5720605612998523,-2100,-350,0.7341211225997046,-0.2057172164779255,-0.2057172164779255,0.04,0.41,0.47,0.393183282686819,2,,144.57999999999998,58.0,,,1.7,144.0,145.0,147.602114631481,144.16,,,,,,,1,1,0,0
Washington Huskies vs. Penn State Nittany Lions,Feb 11 10:42PM ET,2026-02-12 05:17:51 UTC,Washington Huskies,1,-2.5,-2.5,-13.25,-7.0,0.6524471828017251,-2.5,0.10188538504891609,0.10188538504891609,0.8,-13.9,-12.0,-13.3,-13.2,0.7711289178693908,-250,-232,0.6622578357387814,0.07189780072782592,0.07189780072782592,0.017,0.88,0.87,0.902883203680588,1,135.0,153.10572978468798,142.0,134.5,135.0,1.5,154.0,154.0,152.211459569376,150.85,0.6097764747501636,0.373874317311735,0.05422091919460803,-0.13832080463948454,0.05422091919460803,-0.13832080463948454,1,1,1,0
Washington Huskies vs. Penn State Nittany Lions,Feb 11 10:42PM ET,2026-02-12 05:17:51 UTC,Penn State Nittany Lions,1,2.5,2.5,13.25,7.0,0.3475528171982749,2.5,-0.1705194719583516,-0.1705194719583516,0.8,13.9,12.0,13.3,13.2,0.22887108213060933,190,180,0.33774216426121867,-0.12772693465047388,-0.12772693465047388,0.017,0.12,0.13,0.0971167963194123,1,135.0,153.10572978468798,142.0,134.5,135.0,1.5,154.0,154.0,152.211459569376,150.85,0.6097764747501636,0.373874317311735,0.05422091919460803,-0.13832080463948454,0.05422091919460803,-0.13832080463948454,1,1,1,0
Maine Black Bears vs. UMBC Retrievers,Feb 12 06:00PM ET,2026-02-11 21:58:27 UTC,UMBC Retrievers,1,-3.5,-3.5,-3.8,-3.5,0.5,-3.5,-0.004950495049504955,-0.0226730310262529,1.3,-4.0,-4.0,-3.6,-1.2,0.6259746094852752,,-168,0.6019492189705502,-0.0015226158199412865,,0.015,0.67,0.65,0.641746542928822,2,135.5,130.565,133.5,135.5,135.5,2.1,128.0,130.0,133.033705355463,131.13,0.4689128120678558,0.5310871879321442,-0.06597090886237672,0.018892065980924633,-0.049392081497632,0.0017946303082627,0,1,0,1
Maine Black Bears vs. UMBC Retrievers,Feb 12 06:00PM ET,2026-02-11 21:58:27 UTC,Maine Black Bears,1,3.5,3.5,3.8,3.5,0.5,3.5,-0.045454545454545414,-0.0249406175771971,1.3,4.0,4.0,3.6,1.2,0.37402539051472494,,141,0.39805078102944985,-0.04091951306654229,,0.015,0.3299999999999999,0.35,0.358253457071178,2,135.5,130.565,133.5,135.5,135.5,2.1,128.0,130.0,133.033705355463,131.13,0.4689128120678558,0.5310871879321442,-0.06597090886237672,0.018892065980924633,-0.049392081497632,0.0017946303082627,0,1,0,1
New Hampshire Wildcats vs. NJIT Highlanders,Feb 12 06:00PM ET,2026-02-11 21:58:27 UTC,New Hampshire Wildcats,2,-2.5,-2.5,-2.0999999999999996,-2.5,0.5,-1.5,-0.041284403669724745,-0.041284403669724745,1.0,-3.1,-1.0,-1.4,-2.8,0.5727254227155901,,-160,0.5908616086973343,-0.042089392099224576,,0.048,0.63,0.54,0.554589236733846,1,142.5,139.0,141.0,143.5,142.5,2.1,139.0,139.0,142.903347630542,138.25,0.4743624933886761,0.5256375066113239,-0.037832628562543436,-0.009246214318908597,-0.037832628562543436,-0.009246214318908597,0,0,0,0
New Hampshire Wildcats vs. NJIT Highlanders,Feb 12 06:00PM ET,2026-02-11 21:58:27 UTC,NJIT Highlanders,2,2.5,2.5,2.0999999999999996,2.5,0.5,1.5,-0.004950495049504955,-0.004950495049504955,1.0,3.1,1.0,1.4,2.8,0.4272745772844099,,135,0.4091383913026657,0.0015499396032504498,,0.048,0.37,0.46,0.445410763266154,1,142.5,139.0,141.0,143.5,142.5,2.1,139.0,139.0,142.903347630542,138.25,0.4743624933886761,0.5256375066113239,-0.037832628562543436,-0.009246214318908597,-0.037832628562543436,-0.009246214318908597,0,0,0,0
UMass Lowell River Hawks vs. Bryant Bulldogs,Feb 12 06:00PM ET,2026-02-12 01:34:13 UTC,UMass Lowell River Hawks,2,-5.5,-5.5,-6.5,-6.0,0.5168516246190507,-5.5,-0.006957899190473182,0.0046565026678311,1.3,-7.8,-6.0,-7.0,-4.7,0.7151247402418215,,-240,0.6792452830188679,0.009242387300644972,,0.041,0.78,0.7,0.751004197464775,2,143.5,141.51999999999998,142.5,142.5,143.5,0.9,141.0,142.0,142.989872540428,141.04,0.4844445857059503,0.5155554142940497,-0.039364938103573555,-0.008254109515474117,-0.0426629068827225,-0.0044159359987295,0,1,0,1
UMass Lowell River Hawks vs. Bryant Bulldogs,Feb 12 06:00PM ET,2026-02-12 01:34:13 UTC,Bryant Bulldogs,2,5.5,5.5,6.5,6.0,0.4831483753809493,5.5,-0.04626338932493307,-0.0517353455492832,1.3,7.8,6.0,7.0,4.7,0.2848752597581785,,200,0.32075471698113206,-0.0484580735751548,,0.041,0.2199999999999999,0.3,0.248995802535225,2,143.5,141.51999999999998,142.5,142.5,143.5,0.9,141.0,142.0,142.989872540428,141.04,0.4844445857059503,0.5155554142940497,-0.039364938103573555,-0.008254109515474117,-0.0426629068827225,-0.0044159359987295,0,1,0,1
