Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
UMKC Kangaroos vs. Weber State Wildcats,Dec 10 08:00PM ET,Weber State Wildcats,3,-4.5,-5.25,-5.0,0.5160342270972185,-4.5,-0.017765306702315353,2.1,-3.6,-6.0,-4.5,-8.4,0.658378975939337,-219,0.6581196581196581,-0.02912102406066297,0.042,0.64,0.72,0.658638293759016,2,149.5,148.0466140690765,149.0,150.0,149.5,1.7,146.0,150.0,147.343228138153,148.75,0.49222081404751,0.5077791859524899,-0.031588709762013834,-0.016030337857033894,0,0,0,0
Tulsa Golden Hurricane vs. Arkansas-Pine Bluff Golden Lions,Dec 10 08:00PM ET,Tulsa Golden Hurricane,3,-22.5,-23.5,-23.0,0.5160342270972185,-22.5,-0.0077752967123053685,1.4,-23.0,-24.0,-25.7,-22.4,0.9689449329014346,-8000,0.9578898658028691,-0.020066056109554475,0.02,0.95,0.98,0.98817231237064,3,157.5,157.1757363479715,157.5,156.5,157.5,1.4,159.0,156.0,158.051472695943,156.3,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Fort Wayne Mastodons vs. Eastern Michigan Eagles,Dec 10 08:00PM ET,Eastern Michigan Eagles,3,3.5,1.5,2.5,0.5320425632110974,3.25,0.008233039401573605,1.8,2.2,-1.0,3.1,0.8,0.4053818827708704,143,0.39076376554174075,-0.002781382535252064,0.069,0.42,0.52,0.388559892991569,2,149.0,146.5,148.0,149.5,149.0,3.5,144.0,149.0,149.715183056787,142.63,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.014890889149324127,1,0,0,0
Eastern Illinois Panthers vs. Eastern Kentucky Colonels,Dec 10 08:00PM ET,Eastern Kentucky Colonels,3,-5.5,-1.9,-4.0,0.452000757288194,-5.0,-0.07180876652132984,1.1,-0.6,-2.0,-1.8,-3.2,0.6115002859397447,-210,0.6574752261956054,-0.07403430525522381,0.031,0.52,0.58,0.565525345683884,2,153.5,148.43585925470302,151.5,152.5,153.5,1.6,147.0,150.0,149.751718509406,147.12,0.4689128120678558,0.5310871879321442,-0.05489671174166805,0.00727766412262032,1,1,0,1
Southern Illinois Salukis vs. Tenn-Martin Skyhawks,Dec 10 08:00PM ET,Southern Illinois Salukis,3,-9.5,-7.9,-9.0,0.4839657729027816,-10.0,-0.03984375090674225,2.2,-11.6,-8.0,-7.8,-6.6,0.7877996199007519,-630,0.8055992398015037,-0.06281353506022913,0.047,0.85,0.77,0.766176918816771,2,146.0,144.2780309752685,145.5,147.5,146.0,0.5,144.0,144.0,144.556061950537,145.12,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,1
Eastern Illinois Panthers vs. Eastern Kentucky Colonels,Dec 10 08:00PM ET,Eastern Illinois Panthers,3,5.5,1.9,4.0,0.547999242711806,5.0,0.024189718902282165,1.1,0.6,2.0,1.8,3.2,0.3884997140602553,172,0.34252477380439467,0.031356856917398146,0.031,0.48,0.42,0.434474654316116,2,153.5,148.43585925470302,151.5,152.5,153.5,1.6,147.0,150.0,149.751718509406,147.12,0.4689128120678558,0.5310871879321442,-0.05489671174166805,0.00727766412262032,1,1,0,1
Houston Cougars vs. Jackson St Tigers,Dec 10 08:00PM ET,Jackson St Tigers,1,39.5,32.8,37.0,0.5861849792321917,38.5,0.07398985728097218,3.8,30.7,30.0,38.2,34.9,,,0.0,0.0,0.005,0.01,0.004,0.000232641905747,3,135.5,133.555,134.5,135.5,135.5,2.9,135.0,132.0,138.216943698454,132.11,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,1,1,0,0
Southern Illinois Salukis vs. Tenn-Martin Skyhawks,Dec 10 08:00PM ET,Tenn-Martin Skyhawks,3,9.5,7.9,9.0,0.5160342270972185,10.0,-0.0077752967123053685,2.2,11.6,8.0,7.8,6.6,0.21220038009924813,450,0.19440076019849628,0.00693722220451129,0.047,0.15,0.23,0.233823081183229,2,146.0,144.2780309752685,145.5,147.5,146.0,0.5,144.0,144.0,144.556061950537,145.12,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,1
Houston Cougars vs. Jackson St Tigers,Dec 10 08:00PM ET,Houston Cougars,1,-39.5,-32.8,-37.0,0.4138150207678083,-38.5,-0.12106870016242421,3.8,-30.7,-30.0,-38.2,-34.9,,,0.0,0.0,0.005,0.99,0.996,0.999767358094253,3,135.5,133.555,134.5,135.5,135.5,2.9,135.0,132.0,138.216943698454,132.11,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,1,1,0,0
Utah Valley Wolverines vs. Idaho State Bengals,Dec 10 08:00PM ET,Idaho State Bengals,2,11.5,11.45,11.5,0.5,10.75,-0.023809523809523836,1.8,13.2,11.0,11.9,9.0,0.14310130648489705,472,0.1529105125977411,-0.016898693515102953,0.015,0.12,0.15,0.133292100372053,3,142.0,140.015273157463,141.0,142.0,142.0,1.3,138.0,141.0,140.250546314926,139.78,0.4774391920548072,0.5075256171779651,-0.04637033175471661,-0.016283906631558764,0,1,0,1
