Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
South Florida Bulls vs. Utah State Aggies,Dec 04 07:00PM ET,South Florida Bulls,3,1.5,2.7,2.0,0.4839657729027816,1.5,-0.03984375090674225,3.2,-1.6,,2.7,4.6,0.46558292406906254,110,0.4532304725168756,-0.010607552121413621,0.102,0.55,,0.405870751242499,1,163.25,162.959866451234,163.0,163.25,2.9,167.0,,162.959866451234,161.49,0.4914489286915362,0.4914489286915362,-0.03236059511798761,-0.03236059511798761,0,0,0,0
Merrimack Warriors vs. Rider Broncs,Dec 04 07:00PM ET,Rider Broncs,1,9.0,9.4,9.0,0.5,9.0,-0.023809523809523836,3.2,6.6,,9.4,13.0,0.21535074383599395,357,0.20874902677940937,-0.003548777695106531,0.04,0.25,,0.193904921785157,2,137.5,136.171237210396,137.0,137.5,2.5,136.0,,136.171237210396,140.46,0.49222081404751,0.5077791859524899,-0.031588709762013834,-0.016030337857033894,0,0,0,0
Merrimack Warriors vs. Rider Broncs,Dec 04 07:00PM ET,Merrimack Warriors,1,-9.0,-9.4,-9.0,0.5,-9.0,-0.023809523809523836,3.2,-6.6,,-9.4,-13.0,0.7846492561640062,-487,0.7912509732205907,-0.045076573561823596,0.04,0.75,,0.806095078214843,2,137.5,136.171237210396,137.0,137.5,2.5,136.0,,136.171237210396,140.46,0.49222081404751,0.5077791859524899,-0.031588709762013834,-0.016030337857033894,0,0,0,0
Green Bay Phoenix vs. Robert Morris Colonials,Dec 04 07:00PM ET,Robert Morris Colonials,2,-1.5,-0.8,-1.0,0.4831483753809493,-1.5,-0.040661148428574545,0.6,-1.4,,-0.8,-0.2,0.5437948673278019,-130,0.5427435387673957,-0.02142252397654587,0.021,0.56,,0.529692391776416,1,139.5,141.039039896991,140.0,139.5,1.2,140.0,,141.039039896991,142.34,0.5085510713084638,0.4914489286915363,-0.01525845250106006,-0.032360595117987556,0,0,0,0
Green Bay Phoenix vs. Robert Morris Colonials,Dec 04 07:00PM ET,Green Bay Phoenix,2,1.5,0.8,1.0,0.5168516246190507,1.5,-0.006957899190473182,0.6,1.4,,0.8,0.2,0.4562051326721982,110,0.4572564612326044,-0.019985343518277965,0.021,0.4399999999999999,,0.470307608223584,1,139.5,141.039039896991,140.0,139.5,1.2,140.0,,141.039039896991,142.34,0.5085510713084638,0.4914489286915363,-0.01525845250106006,-0.032360595117987556,0,0,0,0
Davidson Wildcats vs. The Citadel Bulldogs,Dec 04 07:00PM ET,Davidson Wildcats,2,-20.5,-21.7,-21.0,0.5168516246190507,-20.5,-0.006957899190473182,2.9,-21.7,,-19.9,-25.5,0.9534083647600136,-5000,0.9433962264150945,-0.026983792102731496,0.005,0.96,,0.966841006209865,3,141.0,142.855604071569,141.5,141.0,1.8,141.0,,142.855604071569,144.5,0.5000013374412138,0.4849554499972073,-0.023808186368310058,-0.038854073812316536,0,0,0,0
Davidson Wildcats vs. The Citadel Bulldogs,Dec 04 07:00PM ET,The Citadel Bulldogs,2,20.5,21.7,21.0,0.4831483753809493,20.5,-0.040661148428574545,2.9,21.7,,19.9,25.5,0.04659163523998648,1600,0.05660377358490566,-0.012231894171778217,0.005,0.04,,0.0331589937901346,3,141.0,142.855604071569,141.5,141.0,1.8,141.0,,142.855604071569,144.5,0.5000013374412138,0.4849554499972073,-0.023808186368310058,-0.038854073812316536,0,0,0,0
South Florida Bulls vs. Utah State Aggies,Dec 04 07:00PM ET,Utah State Aggies,3,-1.5,-2.7,-2.0,0.5160342270972185,-1.5,-0.0077752967123053685,3.2,1.6,,-2.7,-4.6,0.5344170759309375,-135,0.5467695274831245,-0.04005100917544557,0.102,0.4499999999999999,,0.594129248757501,1,163.25,162.959866451234,163.0,163.25,2.9,167.0,,162.959866451234,161.49,0.4914489286915362,0.4914489286915362,-0.03236059511798761,-0.03236059511798761,0,0,0,0
UC Santa Barbara Gauchos vs. Long Beach St 49ers,Dec 04 09:00PM ET,Long Beach St 49ers,2,12.5,12.5,12.5,0.5,12.5,-0.023809523809523836,2.1,15.6,,12.5,11.5,0.118935466704125,650,0.12790697674418605,-0.014397866629208333,0.014,0.0999999999999999,,0.119927913328128,3,144.5,145.0,144.5,144.5,0.7,145.0,,144.951112639337,146.18,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
UC Santa Barbara Gauchos vs. Long Beach St 49ers,Dec 04 09:00PM ET,UC Santa Barbara Gauchos,2,-12.5,-12.5,-12.5,0.5,-12.5,-0.023809523809523836,2.1,-15.6,,-12.5,-11.5,0.881064533295875,-1000,0.872093023255814,-0.028026375795034197,0.014,0.9,,0.880072086671872,3,144.5,145.0,144.5,144.5,0.7,145.0,,144.951112639337,146.18,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
