Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
IUPUI Jaguars vs. Green Bay Phoenix,Dec 11 06:30PM ET,IUPUI Jaguars,3,2.0,2.65,2.5,0.4839657729027816,2.0,-0.03984375090674225,0.4,2.1,3.0,2.4,2.9,0.4262818176831776,126,0.43579626972740315,-0.028263636862276953,0.015,0.43,0.4,0.416767365638952,1,167.0,168.565692607182,167.5,166.0,167.0,3.1,170.0,167.0,167.131385214364,173.49,0.5000019640908513,0.4828998214739237,-0.023807559718672544,-0.04090970233560015,1,1,0,0
IUPUI Jaguars vs. Green Bay Phoenix,Dec 11 06:30PM ET,Green Bay Phoenix,3,-2.0,-2.65,-2.5,0.5160342270972185,-2.0,-0.0077752967123053685,0.4,-2.1,-3.0,-2.4,-2.9,0.5737181823168225,-152,0.5642037302725968,-0.01475918393832154,0.015,0.57,0.6,0.583232634361048,1,167.0,168.565692607182,167.5,166.0,167.0,3.1,170.0,167.0,167.131385214364,173.49,0.5000019640908513,0.4828998214739237,-0.023807559718672544,-0.04090970233560015,1,1,0,0
Virginia Tech Hokies vs. Western Carolina Catamounts,Dec 11 07:00PM ET,Virginia Tech Hokies,3,-20.0,-21.799999999999997,-20.5,0.5160342270972185,-20.5,-0.0077752967123053685,2.7,-23.9,-19.0,-19.7,-24.0,0.9516399506781752,-5145,0.9432799013563503,-0.02662091888704221,0.002,0.96,0.96,0.963185146814515,3,151.75,151.5744335627635,151.5,151.0,151.75,2.9,156.0,151.0,152.148867125527,149.01,0.4849554499972073,0.5000013374412138,-0.038854073812316536,-0.023808186368310058,0,1,0,0
Virginia Tech Hokies vs. Western Carolina Catamounts,Dec 11 07:00PM ET,Western Carolina Catamounts,3,20.0,21.799999999999997,20.5,0.4839657729027816,20.5,-0.03984375090674225,2.7,23.9,19.0,19.7,24.0,0.0483600493218249,1694,0.05672009864364981,-0.010463480089939796,0.002,0.04,0.04,0.0368148531854852,3,151.75,151.5744335627635,151.5,151.0,151.75,2.9,156.0,151.0,152.148867125527,149.01,0.4849554499972073,0.5000013374412138,-0.038854073812316536,-0.023808186368310058,0,1,0,0
East Carolina Pirates vs. Appalachian St Mountaineers,Dec 11 07:00PM ET,East Carolina Pirates,1,-4.0,-4.6,-4.0,0.5,-5.75,-0.023809523809523836,1.5,-4.8,-6.0,-4.4,-2.3,0.659277108433735,-248,0.6385542168674698,-0.007389558232931637,0.019,0.7,0.68,0.662717577892393,2,133.25,135.75,134.0,134.0,133.25,1.7,133.0,136.0,136.887410583855,135.5,0.5077821418769288,0.4766713132888295,-0.01602738193259501,-0.047138210520694335,0,1,0,0
East Carolina Pirates vs. Appalachian St Mountaineers,Dec 11 07:00PM ET,Appalachian St Mountaineers,1,4.0,4.6,4.0,0.5,5.75,-0.023809523809523836,1.5,4.8,6.0,4.4,2.3,0.3407228915662651,201,0.3614457831325302,-0.036635598999772645,0.019,0.3,0.32,0.337282422107607,2,133.25,135.75,134.0,134.0,133.25,1.7,133.0,136.0,136.887410583855,135.5,0.5077821418769288,0.4766713132888295,-0.01602738193259501,-0.047138210520694335,0,1,0,0
UT Rio Grande Valley Vaqueros vs. UT-Arlington Mavericks,Dec 11 07:30PM ET,UT Rio Grande Valley Vaqueros,2,-2.0,-4.699999999999999,-3.0,0.5336731946043589,-2.0,0.009863670794835078,1.2,-4.6,-3.0,-4.8,-5.8,0.6132696157216024,-140,0.5563770794824399,0.029936282388269064,0.044,0.68,0.6,0.670162151960765,1,144.0,142.5,143.5,144.5,144.0,1.3,142.0,143.0,144.715743221713,141.84,0.4828998214739237,0.5000019640908513,-0.04090970233560015,-0.023807559718672544,1,1,0,0
UT Rio Grande Valley Vaqueros vs. UT-Arlington Mavericks,Dec 11 07:30PM ET,UT-Arlington Mavericks,2,2.0,4.699999999999999,3.0,0.4663268053956411,2.0,-0.05748271841388275,1.2,4.6,3.0,4.8,5.8,0.3867303842783975,115,0.44362292051756,-0.07838589479136993,0.044,0.3199999999999999,0.4,0.329837848039235,1,144.0,142.5,143.5,144.5,144.0,1.3,142.0,143.0,144.715743221713,141.84,0.4828998214739237,0.5000019640908513,-0.04090970233560015,-0.023807559718672544,1,1,0,0
Iowa State Cyclones vs. Iowa Hawkeyes,Dec 11 08:00PM ET,Iowa State Cyclones,2,-12.5,-13.9,-13.0,0.5168516246190507,-10.5,-0.006957899190473182,3.0,-8.7,-13.0,-14.8,-15.2,0.8726491340602951,-874,0.8652982681205901,-0.03211277070160978,0.059,0.8,0.88,0.915100417221486,3,143.5,147.118787443057,145.0,145.5,143.5,4.0,145.0,143.0,149.237574886114,151.79,0.5225581344892309,0.477441865510769,-0.001251389320292895,-0.04636765829875483,0,0,0,0
Iowa State Cyclones vs. Iowa Hawkeyes,Dec 11 08:00PM ET,Iowa Hawkeyes,2,12.5,13.9,13.0,0.4831483753809493,10.5,-0.040661148428574545,3.0,8.7,13.0,14.8,15.2,0.12735086593970493,585,0.13470173187940987,-0.013494204482830285,0.059,0.1999999999999999,0.12,0.0848995827785136,3,143.5,147.118787443057,145.0,145.5,143.5,4.0,145.0,143.0,149.237574886114,151.79,0.5225581344892309,0.477441865510769,-0.001251389320292895,-0.04636765829875483,0,0,0,0
