Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Butler Bulldogs vs. NJIT Highlanders,Dec 22 02:00PM ET,Butler Bulldogs,3,-32.0,-28.05,-30.5,0.452000757288194,-32.5,-0.07180876652132984,-0.0876882734750799,2.8,-29.1,-27.0,-25.5,-31.9,,,0.0,0.0,0.0,0.006,0.98,0.99,0.990050650976053,3,149.5,147.57,148.5,148.5,149.5,2.0,149.0,145.0,149.031740006719,146.14,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,-0.0313324675315271,-0.0162865800875205,1,1,0,1
Towson Tigers vs. Sacred Heart Pioneers,Dec 22 02:00PM ET,Sacred Heart Pioneers,3,10.5,9.2,10.0,0.5160342270972185,10.5,-0.0077752967123053685,-0.0023791446117186,1.8,8.2,8.0,10.2,11.9,0.1889613150063766,445,0.17792263001275332,0.00281412885919044,0.0,0.029,0.1999999999999999,0.22,0.162296807689862,3,146.5,140.0,144.0,143.0,146.5,3.1,138.0,142.0,143.313741686632,136.82999999999998,0.4624387191675257,0.5375612808324742,-0.06137080464199812,0.013751757022950395,-0.0440919084236616,-0.0140054833005037,0,0,0,1
Towson Tigers vs. Sacred Heart Pioneers,Dec 22 02:00PM ET,Towson Tigers,3,-10.5,-9.2,-10.0,0.4839657729027816,-10.5,-0.03984375090674225,-0.0360823938498199,1.8,-8.2,-8.0,-10.2,-11.9,0.8110386849936233,-620,0.8220773699872467,-0.04903959289287374,0.0,0.029,0.8,0.78,0.837703192310138,3,146.5,140.0,144.0,143.0,146.5,3.1,138.0,142.0,143.313741686632,136.82999999999998,0.4624387191675257,0.5375612808324742,-0.06137080464199812,0.013751757022950395,-0.0440919084236616,-0.0140054833005037,0,0,0,1
Butler Bulldogs vs. NJIT Highlanders,Dec 22 02:00PM ET,NJIT Highlanders,3,32.0,28.05,30.5,0.547999242711806,32.5,0.024189718902282165,0.0400692258560322,2.8,29.1,27.0,25.5,31.9,,,0.0,0.0,0.0,0.006,0.02,0.01,0.0099493490239471,3,149.5,147.57,148.5,148.5,149.5,2.0,149.0,145.0,149.031740006719,146.14,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,-0.0313324675315271,-0.0162865800875205,1,1,0,1
Georgia Bulldogs vs. West Georgia Wolves,Dec 22 02:00PM ET,West Georgia Wolves,3,35.5,31.35,34.0,0.547999242711806,35.5,0.024189718902282165,0.0241897189022821,2.3,34.2,29.0,32.5,30.2,,,0.0,0.0,0.0,0.01,0.02,0.004,0.0024964137352157,3,164.5,164.746833145879,164.5,162.5,164.5,3.7,170.0,165.0,164.493666291758,161.12,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0087663112479449,-0.0388527363711027,1,1,0,0
Georgia Bulldogs vs. West Georgia Wolves,Dec 22 02:00PM ET,Georgia Bulldogs,3,-35.5,-31.35,-34.0,0.452000757288194,-35.5,-0.07180876652132984,-0.0718087665213298,2.3,-34.2,-29.0,-32.5,-30.2,,,0.0,0.0,0.0,0.01,0.98,0.996,0.997503586264784,3,164.5,164.746833145879,164.5,162.5,164.5,3.7,170.0,165.0,164.493666291758,161.12,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0087663112479449,-0.0388527363711027,1,1,0,0
UTSA Roadrunners vs. Seattle Redhawks,Dec 22 03:00PM ET,Seattle Redhawks,2,-8.5,-8.15,-8.5,0.5,-7.5,-0.023809523809523836,-0.0023791446117186,4.3,-7.3,-9.0,-6.0,-15.7,0.7615904882565052,-427,0.7631809765130103,-0.03424284507682818,0.0,0.04,0.76,0.79,0.711668752999602,2,143.5,143.0,143.5,142.5,143.5,1.9,143.0,143.0,143.30476315062,139.33,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0215311004784688,-0.0215311004784688,0,0,0,1
UTSA Roadrunners vs. Seattle Redhawks,Dec 22 03:00PM ET,UTSA Roadrunners,2,8.5,8.15,8.5,0.5,7.5,-0.023809523809523836,-0.0360823938498199,4.3,7.3,9.0,6.0,15.7,0.23840951174349476,330,0.23681902348698952,-0.008541707768700363,0.0,0.04,0.24,0.21,0.288331247000398,2,143.5,143.0,143.5,142.5,143.5,1.9,143.0,143.0,143.30476315062,139.33,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0215311004784688,-0.0215311004784688,0,0,0,1
Tulsa Golden Hurricane vs. Denver Pioneers,Dec 22 03:00PM ET,Denver Pioneers,3,18.0,20.55,19.0,0.4679574367889025,17.0,-0.05585208702062133,-0.0672300119425752,2.5,22.7,18.0,18.5,22.6,0.057194108761329306,1448,0.06438821752265861,-0.00947255790533736,0.0,0.008,0.06,0.05,0.043313495006184,3,165.5,169.0,167.0,167.5,165.5,3.4,170.0,168.0,163.348442224008,171.1,0.5225581344892309,0.477441865510769,-0.001251389320292895,-0.04636765829875483,-0.0140081567564656,-0.0290540442004721,0,1,0,0
Tulsa Golden Hurricane vs. Denver Pioneers,Dec 22 03:00PM ET,Tulsa Golden Hurricane,3,-18.0,-20.55,-19.0,0.5320425632110974,-17.0,0.008233039401573605,0.0287684734810367,2.5,-22.7,-18.0,-18.5,-22.6,0.9428058912386708,-4000,0.9356117824773414,-0.025913561351749603,0.0,0.008,0.94,0.95,0.956686504993816,3,165.5,169.0,167.0,167.5,165.5,3.4,170.0,168.0,163.348442224008,171.1,0.5225581344892309,0.477441865510769,-0.001251389320292895,-0.04636765829875483,-0.0140081567564656,-0.0290540442004721,0,1,0,0
