Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Jackson St Tigers vs. Hampton Pirates,Dec 18 05:00PM ET,Jackson St Tigers,1,6.5,6.9,6.5,0.5,6.5,-0.023809523809523836,-0.0238095238095238,3.6,2.9,,6.9,10.0,0.3091564547299117,255,0.298804780876494,-0.0033435452700882884,0.0128868445005785,0.086,0.38,,0.259016257166659,2,136.5,141.0,138.5,137.5,136.5,2.2,141.0,,141.66656068463,137.5,0.5310871879321442,0.4689128120678558,0.00727766412262032,-0.05489671174166805,-0.0049761560057212,-0.042556500017501,0,0,0,0
Jackson St Tigers vs. Hampton Pirates,Dec 18 05:00PM ET,Hampton Pirates,1,-6.5,-6.9,-6.5,0.5,-6.5,-0.023809523809523836,-0.0238095238095238,3.6,-2.9,,-6.9,-10.0,0.6908435452700883,-320,0.7011952191235059,-0.04248978806324499,-0.0564817472504108,0.086,0.62,,0.740983742833341,2,136.5,141.0,138.5,137.5,136.5,2.2,141.0,,141.66656068463,137.5,0.5310871879321442,0.4689128120678558,0.00727766412262032,-0.05489671174166805,-0.0049761560057212,-0.042556500017501,0,0,0,0
Appalachian St Mountaineers vs. Coastal Carolina Chanticleers,Dec 18 06:30PM ET,Coastal Carolina Chanticleers,1,3.5,4.0,3.5,0.5,4.0,-0.023809523809523836,-0.0192307692307692,1.0,4.0,,5.3,3.3,0.35342203948869416,150,0.38930121831676234,-0.054741225817428296,0.0,0.018,0.3299999999999999,,0.305085721321252,2,137.25,132.0,135.0,133.0,137.25,1.8,132.0,,132.259552211847,129.09,0.4611572532986117,0.5233316291629,-0.06265227051091216,-0.0004778946466238443,-0.0370879935779836,-0.0215296216730037,0,0,0,0
Appalachian St Mountaineers vs. Coastal Carolina Chanticleers,Dec 18 06:30PM ET,Appalachian St Mountaineers,1,-3.5,-4.0,-3.5,0.5,-4.0,-0.023809523809523836,-0.0192307692307692,1.0,-4.0,,-5.3,-3.3,0.6465779605113059,-182,0.6106987816832378,0.006290190727133105,0.0,0.018,0.67,,0.694914278678748,2,137.25,132.0,135.0,133.0,137.25,1.8,132.0,,132.259552211847,129.09,0.4611572532986117,0.5233316291629,-0.06265227051091216,-0.0004778946466238443,-0.0370879935779836,-0.0215296216730037,0,0,0,0
Eastern Illinois Panthers vs. SIU-Edwardsville Cougars,Dec 18 06:30PM ET,SIU-Edwardsville Cougars,1,-7.0,-1.3,-4.5,0.4138150207678083,-6.5,-0.10999450304171554,-0.0996598130636265,1.6,-0.2,,-3.4,-1.3,0.6435905519248084,-285,0.7188032108975918,-0.10889225938153224,0.0,0.083,0.51,,0.62675578590405,2,136.0,133.0,135.0,134.0,136.0,2.9,133.0,,134.535828350984,128.95999999999998,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.01602738193259501,-0.0370879935779836,-0.0215296216730037,0,0,0,0
Eastern Illinois Panthers vs. SIU-Edwardsville Cougars,Dec 18 06:30PM ET,Eastern Illinois Panthers,1,7.0,1.3,4.5,0.5861849792321917,6.5,0.06237545542266787,0.0617542185771674,1.6,0.2,,3.4,1.3,0.3564094480751916,230,0.2811967891024082,0.062037153702897196,0.0,0.083,0.49,,0.37324421409595,2,136.0,133.0,135.0,134.0,136.0,2.9,133.0,,134.535828350984,128.95999999999998,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.01602738193259501,-0.0370879935779836,-0.0215296216730037,0,0,0,0
Northern Arizona Lumberjacks vs. Southern Utah Thunderbirds,Dec 18 07:00PM ET,Northern Arizona Lumberjacks,3,-6.0,-7.8,-6.5,0.5160342270972185,-5.0,-0.0077752967123053685,0.0015261312862148,0.3,-8.3,,-7.8,-7.8,0.7231154918913116,-240,0.6704377766847024,0.021622954577878772,0.0,0.02,0.79,,0.761586414195842,2,150.0,148.0,149.0,149.0,150.0,1.9,148.0,,148.576346986568,145.01,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.01602738193259501,-0.0370879935779836,-0.0215296216730037,0,0,0,0
Saint Joseph's Hawks vs. Delaware St Hornets,Dec 18 07:00PM ET,Delaware St Hornets,2,18.5,16.6,17.5,0.5336731946043589,17.5,0.017934695815012613,-0.0069578991904731,0.6,16.6,,16.8,15.6,0.06459124169008384,1400,0.06444906444906445,-0.002075424976582821,-0.0023837898416443,0.007,0.0699999999999999,,0.0594668378622066,3,140.5,138.76,140.0,142.0,140.5,1.4,138.0,,140.705021724558,138.76,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,-0.0463703317547166,-0.0162839066315587,0,0,0,0
Saint Joseph's Hawks vs. Delaware St Hornets,Dec 18 07:00PM ET,Saint Joseph's Hawks,2,-18.5,-16.6,-17.5,0.4663268053956411,-17.5,-0.06085995583367332,-0.0406611484285745,0.6,-16.6,,-16.8,-15.6,0.935408758309916,-3000,0.9355509355509356,-0.03233317717395501,-0.0320248123088934,0.007,0.93,,0.940533162137793,3,140.5,138.76,140.0,142.0,140.5,1.4,138.0,,140.705021724558,138.76,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,-0.0463703317547166,-0.0162839066315587,0,0,0,0
Manhattan Jaspers vs. Furman Paladins,Dec 18 07:00PM ET,Furman Paladins,3,-8.5,-4.9,-7.0,0.452000757288194,-7.5,-0.08070952308563772,-0.0512733324418667,3.8,-3.7,,-4.9,-10.8,0.710138189159812,-325,0.766128841747183,-0.08885170983008706,0.0,0.034,0.63,,0.678295073144882,2,154.5,154.285390271817,154.5,156.5,154.5,2.6,155.0,,154.285390271817,150.26,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0370865147725185,-0.0059756861844191,0,0,0,0
