Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Lafayette Leopards vs. Cornell Big Red,Nov 13 06:00PM ET,Cornell Big Red,3,-4.5,-3.05,-4.0,0.4839657729027816,-4.5,-0.03984375090674225,1.6,-1.0,-4.0,-2.1,-4.4,0.6052090752747624,-200,0.6385542168674698,-0.06145759139190421,0.057,0.54,0.65,0.571863933682055,2,158.5,160.0078994911645,159.0,158.5,2.7,159.0,162.0,161.015798982329,155.81,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,1,0,0,0
West Virginia Mountaineers vs. Pittsburgh Panthers,Nov 13 06:00PM ET,West Virginia Mountaineers,1,-5.5,-2.75,-4.5,0.4652972649083076,-5.5,-0.05851225890121625,1.6,-5.6,-3.0,-2.2,-2.5,0.6456260720411664,-260,0.6912521440823327,-0.07659615018105581,0.076,0.72,0.6,0.580244192911515,2,134.0,136.25,135.0,134.0,3.2,135.0,137.0,141.983320408559,135.5,0.5077821418769288,0.4766713132888295,-0.01602738193259501,-0.047138210520694335,0,0,1,0
West Virginia Mountaineers vs. Pittsburgh Panthers,Nov 13 06:00PM ET,Pittsburgh Panthers,1,5.5,2.75,4.5,0.5347027350916924,5.5,0.01089321128216858,1.6,5.6,3.0,2.2,2.5,0.3543739279588336,210,0.30874785591766724,0.03179328279754329,0.076,0.28,0.4,0.419755807088485,2,134.0,136.25,135.0,134.0,3.2,135.0,137.0,141.983320408559,135.5,0.5077821418769288,0.4766713132888295,-0.01602738193259501,-0.047138210520694335,0,0,1,0
Lafayette Leopards vs. Cornell Big Red,Nov 13 06:00PM ET,Lafayette Leopards,3,4.5,3.05,4.0,0.5160342270972185,4.5,0.0014711203011019691,1.6,1.0,4.0,2.1,4.4,0.3947909247252376,165,0.3614457831325302,0.017432434159199817,0.057,0.4599999999999999,0.35,0.428136066317945,2,158.5,160.0078994911645,159.0,158.5,2.7,159.0,162.0,161.015798982329,155.81,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,1,0,0,0
Alabama Crimson Tide vs. Purdue Boilermakers,Nov 13 07:00PM ET,Alabama Crimson Tide,3,-4.0,-2.15,-3.5,0.4839657729027816,-4.0,-0.03984375090674225,1.4,-2.6,-1.0,-1.7,-4.3,0.5901003380920444,-185,0.6224665518611737,-0.05902246892549945,0.04,0.59,0.51,0.557734124322915,2,175.5,167.0839484506615,172.0,175.5,2.8,167.0,171.0,167.167896901323,164.07,0.4457109003171203,0.5542890996828796,-0.07809862349240354,0.030479575873355813,0,1,0,1
Columbia Lions vs. UMass Lowell River Hawks,Nov 13 07:00PM ET,UMass Lowell River Hawks,3,12.0,12.1,12.0,0.5,12.0,-0.023809523809523836,2.2,12.2,9.0,14.4,12.0,0.1393481276005548,590,0.13869625520110956,-0.0055794086313292746,0.055,0.14,0.2199999999999999,0.113878020854419,3,156.5,156.80620427128798,156.5,156.5,0.7,156.0,157.0,156.612408542576,157.78,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Columbia Lions vs. UMass Lowell River Hawks,Nov 13 07:00PM ET,Columbia Lions,3,-12.0,-12.1,-12.0,0.5,-12.0,-0.023809523809523836,2.2,-12.2,-9.0,-14.4,-12.0,0.8606518723994452,-900,0.8613037447988904,-0.03934812760055484,0.055,0.86,0.78,0.886121979145581,3,156.5,156.80620427128798,156.5,156.5,0.7,156.0,157.0,156.612408542576,157.78,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Massachusetts Minutemen vs. Le Moyne Dolphins,Nov 13 07:00PM ET,Le Moyne Dolphins,3,14.5,12.8,14.0,0.5160342270972185,14.5,-0.0077752967123053685,2.0,12.0,12.0,16.2,13.6,0.135,700,0.12000000000000002,0.010000000000000009,0.039,0.16,0.15,0.0884026045798727,3,160.0,155.65,158.5,160.0,3.3,158.0,152.0,158.5853912491,153.3,0.4699309502034306,0.5150472191818924,-0.053878573606093216,-0.00876230462763139,0,0,0,1
Massachusetts Minutemen vs. Le Moyne Dolphins,Nov 13 07:00PM ET,Massachusetts Minutemen,3,-14.5,-12.8,-14.0,0.4839657729027816,-14.5,-0.03984375090674225,2.0,-12.0,-12.0,-16.2,-13.6,0.865,-1100,0.8800000000000001,-0.05166666666666664,0.039,0.84,0.85,0.911597395420127,3,160.0,155.65,158.5,160.0,3.3,158.0,152.0,158.5853912491,153.3,0.4699309502034306,0.5150472191818924,-0.053878573606093216,-0.00876230462763139,0,0,0,1
Howard Bison vs. Alcorn St Braves,Nov 13 07:00PM ET,Howard Bison,3,-6.5,-6.1,-6.5,0.5,-6.5,-0.023809523809523836,1.8,-4.3,-5.0,-8.2,-7.2,0.6941549295774647,-300,0.7183098591549295,-0.05584507042253528,0.058,0.65,0.67,0.759760506637562,2,157.0,154.6104072024625,156.0,157.0,3.4,159.0,155.0,154.220814404925,150.66,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.01602738193259501,0,0,0,0
