Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
California Golden Bears vs. SMU Mustangs,Feb 25 08:11PM ET,2026-02-26 05:05:47 UTC,California Golden Bears,,,,3.15,,,,,,1.1,1.1,3.0,3.6,3.3,0.5619434752267969,-140,-310,0.7138869504535938,-0.19415408574881288,-0.19415408574881288,0.049,0.4599999999999999,0.41,0.361905304178932,,,159.0,63.5,,,0.6,159.0,159.0,158.683863375647,159.96,,,,,,,0,1,0,0
California Golden Bears vs. SMU Mustangs,Feb 25 08:11PM ET,2026-02-26 05:05:47 UTC,SMU Mustangs,,,,-3.15,,,,,,1.1,-1.1,-3.0,-3.6,-3.3,0.43805652477320306,110,230,0.28611304954640615,0.13502622174290002,0.13502622174290002,0.049,0.54,0.59,0.638094695821068,,,159.0,63.5,,,0.6,159.0,159.0,158.683863375647,159.96,,,,,,,0,1,0,0
Saint Mary's Gaels vs. Santa Clara Broncos,Feb 25 10:00PM ET,2026-02-26 05:05:47 UTC,Saint Mary's Gaels,3,-6.5,-6.5,-3.9,-5.5,0.4679574367889025,-6.5,-0.09248212365065794,-0.09248212365065794,0.7,-3.8,-4.0,-3.8,-5.3,0.7152702702702702,-395,-520,0.7905405405405406,-0.12343940714908463,-0.12343940714908463,0.007,0.64,0.63,0.643580748764772,2,160.5,151.76,157.0,160.5,160.5,0.8,152.0,152.0,150.393403222555,151.52,0.4457109003171203,0.5542890996828796,-0.08259098647533253,0.013004696013154904,-0.08259098647533253,0.013004696013154904,1,1,0,1
Saint Mary's Gaels vs. Santa Clara Broncos,Feb 25 10:00PM ET,2026-02-26 05:05:47 UTC,Santa Clara Broncos,3,6.5,6.5,3.9,5.5,0.5320425632110974,6.5,0.0234430546115888,0.0234430546115888,0.7,3.8,4.0,3.8,5.3,0.2847297297297297,280,350,0.20945945945945946,0.0625075075075075,0.0625075075075075,0.007,0.36,0.37,0.356419251235228,2,160.5,151.76,157.0,160.5,160.5,0.8,152.0,152.0,150.393403222555,151.52,0.4457109003171203,0.5542890996828796,-0.08259098647533253,0.013004696013154904,-0.08259098647533253,0.013004696013154904,1,1,0,1
Oregon St Beavers vs. San Diego Toreros,Feb 25 10:11PM ET,2026-02-26 05:05:47 UTC,Oregon St Beavers,,-4.0,-4.0,-6.8,-5.0,,-4.5,,,1.4,-6.0,-5.0,-7.6,-7.9,0.8149393414211439,-2500,-2500,0.9098786828422877,-0.14659912011731768,-0.14659912011731768,0.038,0.72,0.7,0.774360714216665,2,,146.24574820878598,58.5,,,1.4,146.0,147.0,146.491496417572,143.83999999999995,,,,,,,1,1,0,0
Oregon St Beavers vs. San Diego Toreros,Feb 25 10:11PM ET,2026-02-26 05:05:47 UTC,San Diego Toreros,,4.0,4.0,6.8,5.0,,4.5,,,1.4,6.0,5.0,7.6,7.9,0.18506065857885617,1100,950,0.0901213171577123,0.08982256334076094,0.08982256334076094,0.038,0.28,0.3,0.225639285783335,2,,146.24574820878598,58.5,,,1.4,146.0,147.0,146.491496417572,143.83999999999995,,,,,,,1,1,0,0
Loyola Marymount Lions vs. Washington St Cougars,Feb 25 11:06PM ET,2026-02-26 05:05:47 UTC,Loyola Marymount Lions,2,10.5,10.5,-1.3,6.0,0.6481311927118212,10.5,0.10684678904209644,0.10684678904209644,0.8,-1.6,-1.0,-2.5,-0.7,0.3588561525129983,500,500,0.15771230502599654,0.19218948584633164,0.19218948584633164,0.025,0.56,0.55,0.597012737224528,3,142.5,149.0,145.0,142.5,142.5,0.9,149.0,149.0,150.066381359967,147.86,0.5375612808324742,0.4624387191675257,0.013751757022950395,-0.07884568450219903,0.013751757022950395,-0.07884568450219903,1,1,1,0
Loyola Marymount Lions vs. Washington St Cougars,Feb 25 11:06PM ET,2026-02-26 05:05:47 UTC,Washington St Cougars,2,-10.5,-10.5,1.3,-6.0,0.3518688072881788,-10.5,-0.176433079504274,-0.176433079504274,0.8,1.6,1.0,2.5,0.7,0.6411438474870016,-810,-810,0.8422876949740034,-0.24896604262288846,-0.24896604262288846,0.025,0.4399999999999999,0.45,0.402987262775472,3,142.5,149.0,145.0,142.5,142.5,0.9,149.0,149.0,150.066381359967,147.86,0.5375612808324742,0.4624387191675257,0.013751757022950395,-0.07884568450219903,0.013751757022950395,-0.07884568450219903,1,1,1,0
Oregon Ducks vs. Wisconsin Badgers,Feb 25 11:12PM ET,2026-02-26 05:05:47 UTC,Oregon Ducks,2,5.5,5.5,6.35,6.0,0.4831483753809493,5.5,-0.05173534554928322,-0.05173534554928322,1.2,5.7,7.0,5.6,8.1,0.28355830716360886,220,240,0.2777777777777778,-0.010559339895214681,-0.010559339895214681,0.026,0.3,0.25,0.28933883654944,2,142.5,150.51,145.5,143.5,142.5,1.2,152.0,151.0,149.307098422839,150.01999999999998,0.5465717879888221,0.4534282120111779,0.011688067058589602,-0.08145550891905462,0.011688067058589602,-0.08145550891905462,1,0,1,0
Oregon Ducks vs. Wisconsin Badgers,Feb 25 11:12PM ET,2026-02-26 05:05:47 UTC,Wisconsin Badgers,2,-5.5,-5.5,-6.35,-6.0,0.5168516246190507,-5.5,-0.018032096311181856,-0.018032096311181856,1.2,-5.7,-7.0,-5.6,-8.1,0.716441692836391,-298,-325,0.7222222222222222,-0.04826418951655009,-0.04826418951655009,0.026,0.7,0.75,0.71066116345056,2,142.5,150.51,145.5,143.5,142.5,1.2,152.0,151.0,149.307098422839,150.01999999999998,0.5465717879888221,0.4534282120111779,0.011688067058589602,-0.08145550891905462,0.011688067058589602,-0.08145550891905462,1,0,1,0
