Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Morgan St Bears vs. North Carolina Central Eagles,Jan 12 06:00PM ET,2026-01-11 18:25:07 UTC,North Carolina Central Eagles,3,-1.0,-1.15,-1.0,0.5,-1.0,-0.014563106796116498,-0.0238095238095238,1.0,-1.3,-1.0,0.8,-1.3,0.5254171180931744,-110,-115,0.5108342361863488,-0.009466602837058136,0.0,0.043,0.55,0.54,0.471104886100828,1,147.5,146.6712876476235,147.0,148.5,147.5,1.2,145.0,147.0,146.342575295247,147.87,0.4914489286915362,0.5085510713084638,-0.03236059511798761,-0.01525845250106006,-0.0323605951179876,-0.01525845250106,0,0,0,0
Morgan St Bears vs. North Carolina Central Eagles,Jan 12 06:00PM ET,2026-01-11 18:25:07 UTC,Morgan St Bears,3,1.0,1.15,1.0,0.5,1.0,-0.023809523809523836,-0.0238095238095238,1.0,1.3,1.0,-0.8,1.3,0.47458288190682557,-110,-105,0.4891657638136511,-0.03761224004439395,0.0,0.043,0.4499999999999999,0.46,0.528895113899172,1,147.5,146.6712876476235,147.0,148.5,147.5,1.2,145.0,147.0,146.342575295247,147.87,0.4914489286915362,0.5085510713084638,-0.03236059511798761,-0.01525845250106006,-0.0323605951179876,-0.01525845250106,0,0,0,0
Norfolk St Spartans vs. Maryland-Eastern Shore Hawks,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Norfolk St Spartans,1,-5.5,-5.95,-5.5,0.5,-6.0,-0.023809523809523836,-0.0192307692307692,2.1,-4.9,-7.0,-7.6,-3.0,0.6974958273905258,-225,-245,0.6749916547810518,-0.012588206222919562,0.0,0.035,0.71,0.72,0.774943557670357,2,132.0,125.590799269326,129.5,132.5,132.0,1.4,124.0,127.0,126.371598538652,124.81,0.4534208516464412,0.5310945482968809,-0.07038867216308264,0.007285024487357017,-0.0715471286990516,0.0290329267565924,0,1,0,1
Alabama St Hornets vs. Alcorn St Braves,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Alcorn St Braves,3,7.5,6.300000000000001,7.0,0.5160342270972185,8.0,-0.010032123613681998,0.008645064535642,1.9,7.2,5.0,5.4,9.2,0.28522348321246316,240,265,0.2611551970859893,0.01119945918843912,0.0,0.029,0.26,0.31,0.309291769338937,2,151.5,155.985,153.5,151.5,151.5,2.5,159.0,155.0,153.303711234954,156.97,0.5310871879321442,0.4689128120678558,0.00727766412262032,-0.05489671174166805,0.0095560874536753,-0.052618288410613,0,0,1,0
Alabama St Hornets vs. Alcorn St Braves,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Alabama St Hornets,3,-7.5,-6.300000000000001,-7.0,0.4839657729027816,-8.0,-0.035264996327987685,-0.046550659022101,1.9,-7.2,-5.0,-5.4,-9.2,0.7147765167875368,-300,-345,0.7388448029140106,-0.06047600846498846,0.0,0.029,0.74,0.69,0.690708230661063,2,151.5,155.985,153.5,151.5,151.5,2.5,159.0,155.0,153.303711234954,156.97,0.5310871879321442,0.4689128120678558,0.00727766412262032,-0.05489671174166805,0.0095560874536753,-0.052618288410613,0,0,1,0
Prairie View Panthers vs. Arkansas-Pine Bluff Golden Lions,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Arkansas-Pine Bluff Golden Lions,3,3.0,2.55,3.0,0.5,2.0,-0.023809523809523836,-0.0352649963279876,1.8,2.1,3.0,4.1,-0.2,0.40776595744680855,110,125,0.4255319148936171,-0.03667848699763587,0.0,0.036,0.43,0.39,0.358520063018895,2,167.5,167.37232279246598,167.5,167.0,167.5,3.4,174.0,167.0,167.744645584932,166.89999999999998,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0129761036946738,-0.047172532565124,0,0,0,0
Prairie View Panthers vs. Arkansas-Pine Bluff Golden Lions,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Prairie View Panthers,3,-3.0,-2.55,-3.0,0.5,-2.0,-0.023809523809523836,-0.0031965421335508,1.8,-2.1,-3.0,-4.1,0.2,0.5922340425531916,-130,-150,0.574468085106383,-0.007765957446808414,0.0,0.036,0.57,0.61,0.641479936981105,2,167.5,167.37232279246598,167.5,167.0,167.5,3.4,174.0,167.0,167.744645584932,166.89999999999998,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0129761036946738,-0.047172532565124,0,0,0,0
Howard Bison vs. Delaware St Hornets,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Delaware St Hornets,1,10.0,10.3,10.0,0.5,10.5,-0.023809523809523836,-0.0192307692307692,2.2,9.6,11.0,9.5,14.2,0.1720870870870871,400,450,0.1741741741741742,-0.009731094731094736,0.0,0.017,0.15,0.17,0.184394975328539,2,131.5,127.5,130.0,130.5,131.5,3.8,126.0,129.0,133.301510052457,124.76,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,-0.0477534929354106,0.0052392909929515,0,0,0,0
Howard Bison vs. Delaware St Hornets,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Howard Bison,1,-10.0,-10.3,-10.0,0.5,-10.5,-0.023809523809523836,-0.0192307692307692,2.2,-9.6,-11.0,-9.5,-14.2,0.8279129129129128,-550,-625,0.8258258258258258,-0.034156052604328524,0.0,0.017,0.85,0.83,0.815605024671461,2,131.5,127.5,130.0,130.5,131.5,3.8,126.0,129.0,133.301510052457,124.76,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,-0.0477534929354106,0.0052392909929515,0,0,0,0
Norfolk St Spartans vs. Maryland-Eastern Shore Hawks,Jan 12 07:00PM ET,2026-01-11 18:43:19 UTC,Maryland-Eastern Shore Hawks,1,5.5,5.95,5.5,0.5,6.0,-0.023809523809523836,-0.0192307692307692,2.1,4.9,7.0,7.6,3.0,0.30250417260947415,185,192,0.3250083452189482,-0.039401145917702995,0.0,0.035,0.29,0.28,0.225056442329643,2,132.0,125.590799269326,129.5,132.5,132.0,1.4,124.0,127.0,126.371598538652,124.81,0.4534208516464412,0.5310945482968809,-0.07038867216308264,0.007285024487357017,-0.0715471286990516,0.0290329267565924,0,1,0,1
