Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Minnesota Golden Gophers vs. Texas Southern Tigers,Dec 14 01:00PM ET,Texas Southern Tigers,3,18.5,15.65,17.5,0.5320425632110974,17.5,0.008233039401573605,-0.0012105263258735,2.4,15.3,16.0,17.1,11.6,0.07681710213776723,1200,0.07363420427553445,-0.00010597478530970095,-0.0001059747853097,0.022,0.0999999999999999,0.08,0.0557419518214898,3,146.0,141.5,144.0,145.5,146.0,1.8,141.0,142.0,143.367174157679,139.18,0.4624333836521225,0.5225634700046342,-0.06137614015740134,-0.0012460538048896241,-0.0463676582987548,-0.0012513893202928,1,0,0,1
Minnesota Golden Gophers vs. Texas Southern Tigers,Dec 14 01:00PM ET,Minnesota Golden Gophers,3,-18.5,-15.65,-17.5,0.4679574367889025,-17.5,-0.05585208702062133,-0.0458683165555784,2.4,-15.3,-16.0,-17.1,-11.6,0.9231828978622328,-3000,0.9263657957244656,-0.04455903762163815,-0.0445590376216381,0.022,0.9,0.92,0.94425804817851,3,146.0,141.5,144.0,145.5,146.0,1.8,141.0,142.0,143.367174157679,139.18,0.4624333836521225,0.5225634700046342,-0.06137614015740134,-0.0012460538048896241,-0.0463676582987548,-0.0012513893202928,1,0,0,1
East Carolina Pirates vs. Buffalo Bulls,Dec 14 01:00PM ET,Buffalo Bulls,2,1.5,-1.9,0.0,0.5504348160326231,0.0,0.026625292223099284,-0.0023791446117186,2.2,1.8,-2.0,-1.8,-3.3,0.5091304347826087,-105,0.4782608695652174,0.009130434782608665,0.0,0.072,0.43,0.54,0.565910348932517,1,145.0,149.15741435935848,146.5,145.5,145.0,1.1,150.0,148.0,149.964828718717,148.35,0.5171040958885084,0.4658290826658605,-0.006705427921015472,-0.05798044114366335,0.0018279828018,-0.0494470304208477,1,0,1,0
East Carolina Pirates vs. Buffalo Bulls,Dec 14 01:00PM ET,East Carolina Pirates,2,-1.5,1.9,-0.0,0.4495651839673769,0.0,-0.07424433984214696,-0.0360823938498199,2.2,-1.8,2.0,1.8,3.3,0.49086956521739133,-115,0.5217391304347826,-0.05458498023715408,0.0,0.072,0.57,0.46,0.434089651067483,1,145.0,149.15741435935848,146.5,145.5,145.0,1.1,150.0,148.0,149.964828718717,148.35,0.5171040958885084,0.4658290826658605,-0.006705427921015472,-0.05798044114366335,0.0018279828018,-0.0494470304208477,1,0,1,0
Iowa State Cyclones vs. Eastern Illinois Panthers,Dec 14 01:00PM ET,Eastern Illinois Panthers,2,41.5,39.25,40.5,0.5336731946043589,42.0,0.02147807265313939,0.0144424253735896,3.7,35.9,37.0,41.5,43.7,,,0.0,0.0,0.0,0.006,0.01,0.0004,8.44260425323e-05,3,143.5,144.865,144.0,141.0,143.5,2.6,146.0,141.0,146.694436837287,143.73,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03133246753152713,-0.0140054833005037,-0.0440919084236615,0,1,0,0
Iowa State Cyclones vs. Eastern Illinois Panthers,Dec 14 01:00PM ET,Iowa State Cyclones,2,-41.5,-39.25,-40.5,0.4663268053956411,-42.0,-0.06197508139681174,-0.0529039638351281,3.7,-35.9,-37.0,-41.5,-43.7,,,0.0,0.0,0.0,0.006,0.99,0.9996,0.999915573957468,3,143.5,144.865,144.0,141.0,143.5,2.6,146.0,141.0,146.694436837287,143.73,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03133246753152713,-0.0140054833005037,-0.0440919084236615,0,1,0,0
Vermont Catamounts vs. Merrimack Warriors,Dec 14 02:00PM ET,Merrimack Warriors,1,5.5,6.8,6.0,0.4826321819260377,5.5,-0.04117734188348615,-0.0365985873047315,1.8,6.1,5.0,7.5,9.2,0.28937392795883365,220,0.30874785591766724,-0.03320671720245666,0.0,0.035,0.27,0.3,0.230376592337076,2,136.5,139.5,137.5,137.0,136.5,2.8,138.0,141.0,136.308019954498,142.38,0.5155554142940497,0.4844445857059503,-0.014961017630832907,-0.03478618352481899,-0.01374895860154,-0.0448597871896393,0,1,0,0
High Point Panthers vs. Appalachian St Mountaineers,Dec 14 02:00PM ET,High Point Panthers,2,-12.0,-10.85,-11.5,0.4831483753809493,-12.0,-0.040661148428574545,-0.0360823938498199,0.7,-10.6,-12.0,-11.1,-10.6,0.8591122492297882,-900,0.8613037447988904,-0.040887750770211784,0.0,0.005,0.85,0.86,0.856920753660686,3,145.0,145.0,145.0,145.0,145.0,2.1,144.0,146.0,141.934749277117,146.65,0.4924770562779967,0.4924770562779967,-0.03133246753152713,-0.03133246753152713,-0.0173268652906307,-0.040233224095835,0,1,0,0
Vermont Catamounts vs. Merrimack Warriors,Dec 14 02:00PM ET,Vermont Catamounts,1,-5.5,-6.8,-6.0,0.5173678180739623,-5.5,-0.006441705735561576,-0.001862951156807,1.8,-6.1,-5.0,-7.5,-9.2,0.7106260720411663,-275,0.6912521440823327,-0.011596150181055864,0.0,0.035,0.73,0.7,0.769623407662924,2,136.5,139.5,137.5,137.0,136.5,2.8,138.0,141.0,136.308019954498,142.38,0.5155554142940497,0.4844445857059503,-0.014961017630832907,-0.03478618352481899,-0.01374895860154,-0.0448597871896393,0,1,0,0
Campbell Fighting Camels vs. Ball State Cardinals,Dec 14 02:00PM ET,Campbell Fighting Camels,2,-7.5,-8.4,-8.0,0.5168516246190507,-7.5,-0.018032096311181856,-0.0136648073058319,2.2,-7.8,-9.0,-7.4,-12.2,0.7544224014570053,-300,0.7388448029140106,-0.02083012379551996,0.0,0.017,0.77,0.79,0.756400048045853,2,142.5,143.467247074105,143.0,141.0,142.5,2.5,145.0,143.0,143.93449414821,139.22,0.50777918595249,0.49222081404751,-0.021632578753392306,-0.025851475109116506,-0.01374895860154,-0.0448597871896393,0,1,0,0
