Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Texas Tech Red Raiders vs. Winthrop Eagles,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Texas Tech Red Raiders,3,-17.5,-15.15,-16.5,0.4679574367889025,-17.5,-0.05585208702062133,-0.0512733324418667,1.6,-17.6,-16.0,-14.3,-14.3,0.9179629629629629,-3734,-2500,0.9259259259259258,-0.043575498575498695,0.0,0.012,0.91,0.93,0.907186930366518,3,165.5,164.6982721971225,165.0,167.0,165.5,1.5,165.0,164.0,164.396544394245,167.45,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,-0.0440919084236616,-0.0140054833005037,0,0,0,0
Texas Tech Red Raiders vs. Winthrop Eagles,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Winthrop Eagles,3,17.5,15.15,16.5,0.5320425632110974,17.5,0.008233039401573605,0.0128117939803281,1.6,17.6,16.0,14.3,14.3,0.08203703703703699,1382,1200,0.07407407407407407,0.005113960113960064,0.0,0.012,0.0899999999999999,0.07,0.0928130696334819,3,165.5,164.6982721971225,165.0,167.0,165.5,1.5,165.0,164.0,164.396544394245,167.45,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,-0.0440919084236616,-0.0140054833005037,0,0,0,0
North Florida Ospreys vs. Columbia Lions,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Columbia Lions,3,-14.0,-12.1,-13.0,0.4679574367889025,-14.0,-0.05585208702062133,-0.0512733324418667,3.1,-10.5,-13.0,-11.2,-17.5,0.8671134051071594,-1300,-1250,0.8872651356993738,-0.058812520818766534,0.0,0.025,0.82,0.87,0.846961674514945,3,162.5,160.465,161.5,164.0,162.5,1.4,159.0,161.0,162.172208708581,159.93,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,-0.0516001502750382,-0.0064838812965763,0,1,0,1
North Florida Ospreys vs. Columbia Lions,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,North Florida Ospreys,3,14.0,12.1,13.0,0.5320425632110974,14.0,0.011658870165533908,0.0128117939803281,3.1,10.5,13.0,11.2,17.5,0.13288659489284066,800,750,0.1127348643006263,0.01523953606931125,0.0,0.025,0.18,0.13,0.153038325485055,3,162.5,160.465,161.5,164.0,162.5,1.4,159.0,161.0,162.172208708581,159.93,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,-0.0516001502750382,-0.0064838812965763,0,1,0,1
Georgia Tech Yellow Jackets vs. Florida A&M Rattlers,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Florida A&M Rattlers,3,18.0,16.3,17.5,0.5160342270972185,18.0,-0.0077752967123053685,-0.0031965421335508,1.1,15.6,17.0,17.0,14.7,0.064566466459022,1448,1300,0.06888361045130639,-0.006862104969549407,0.0,0.023,0.0999999999999999,0.06,0.0602493224667376,3,147.5,147.760429860366,147.5,148.5,147.5,2.4,149.0,147.0,148.520859720732,143.74,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0290540442004721,-0.0140081567564656,1,0,0,0
Georgia Tech Yellow Jackets vs. Florida A&M Rattlers,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Georgia Tech Yellow Jackets,3,-18.0,-16.3,-17.5,0.4839657729027816,-18.0,-0.03984375090674225,-0.0352649963279876,1.1,-15.6,-17.0,-17.0,-14.7,0.9354335335409778,-4000,-2800,0.9311163895486935,-0.030083707838332585,0.0,0.023,0.9,0.94,0.939750677533262,3,147.5,147.760429860366,147.5,148.5,147.5,2.4,149.0,147.0,148.520859720732,143.74,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0290540442004721,-0.0140081567564656,1,0,0,0
Boston College Eagles vs. Le Moyne Dolphins,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Le Moyne Dolphins,3,13.5,11.9,13.0,0.5160342270972185,13.0,-0.010032123613681998,-0.0077752967123053,2.4,11.8,12.0,13.3,7.7,0.12497919939238059,660,774,0.10995839878476117,0.010600114425060328,0.0014002421167925,0.024,0.15,0.14,0.104595400563308,3,146.5,145.7,146.0,148.5,146.5,1.2,145.0,146.0,147.807164418544,145.4,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,-0.0388527363711027,-0.0041875566691903,1,0,0,0
Boston College Eagles vs. Le Moyne Dolphins,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Boston College Eagles,3,-13.5,-11.9,-13.0,0.4839657729027816,-13.0,-0.035264996327987685,-0.0398437509067422,2.4,-11.8,-12.0,-13.3,-7.7,0.8750208006076194,-1050,-1248,0.8900416012152388,-0.05080337521655642,-0.0460226677460832,0.024,0.85,0.86,0.895404599436692,3,146.5,145.7,146.0,148.5,146.5,1.2,145.0,146.0,147.807164418544,145.4,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,-0.0388527363711027,-0.0041875566691903,1,0,0,0
Colgate Raiders vs. Harvard Crimson,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Harvard Crimson,2,3.5,5.35,4.0,0.4831483753809493,3.5,-0.040661148428574545,-0.0529039638351281,2.3,6.7,4.0,3.3,8.2,0.3818503937007874,152,142,0.39370078740157477,-0.0313727467950804,0.0,0.07,0.25,0.37,0.372029516827585,2,140.5,142.1716810179895,141.0,143.0,140.5,1.3,141.0,142.0,142.343362035979,144.05,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,-0.0370879935779836,-0.0215296216730037,0,1,1,0
Colgate Raiders vs. Harvard Crimson,Dec 28 02:00PM ET,2025-12-26 20:24:10 UTC,Colgate Raiders,2,-3.5,-5.35,-4.0,0.5168516246190507,-3.5,-0.00237914461171862,0.0144424253735896,2.3,-6.7,-4.0,-3.3,-8.2,0.6181496062992126,-182,-175,0.6062992125984251,-0.018214030064423792,0.0,0.07,0.75,0.63,0.627970483172415,2,140.5,142.1716810179895,141.0,143.0,140.5,1.3,141.0,142.0,142.343362035979,144.05,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,-0.0370879935779836,-0.0215296216730037,0,1,1,0
